subject,session,date,CQtrials,screen,order,time,chosen,nchoices,choiceno,autreDiplome,CRT_ball,CRT_machines,CRT_nenuphar,csp,diplome,econ,emploi,genre,naissance,revenu,soep,name,ID,type,p1,q1,p2,q2,p3,q3,order1,order2,order3,up1,up2,up3,indiff,decoy_penalty,comp_penalty,targ_adv
804001,804,20/09/2021,2,1,37,NA,NA,0,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,ABC,1,decoy,220.00000000000028,230.99999999999932,129.87012987013017,136.36363636363623,253.00000000000003,230.99999999999932,target,decoy,competitor,0.9524,0.9524,1.0952,0,1.1499370012599748,1,1
804001,804,20/09/2021,2,2,29,11268,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,BAD,2,decoy,129.87012987013017,136.36363636363623,220.00000000000028,230.99999999999932,129.87012987013017,118.57707509881416,competitor,decoy,target,0.9524,0.9524,1.0952,0,1.1499370012599748,1,1
804001,804,20/09/2021,2,3,17,7736,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AFC,3,decoy,220.00000000000028,230.99999999999932,122.4006153836726,141.37271076814173,253.00000000000003,230.99999999999932,decoy,target,competitor,0.9524,0.8658,1.0952,0.09,1.1499370012599748,0.9090718185636288,1.1000231000231
804001,804,20/09/2021,2,4,34,6978,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,FAH,4,decoy,122.4006153836726,141.37271076814173,220.00000000000028,230.99999999999932,122.4006153836726,122.9327919722972,competitor,decoy,target,0.8658,0.9524,0.9957,-0.09,1.15003465003465,1.1000231000231,0.9090718185636288
804001,804,20/09/2021,2,5,25,6459,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,BED,5,decoy,129.87012987013017,136.36363636363623,212.20502766762016,245.0968069561011,129.87012987013017,118.57707509881416,decoy,target,competitor,0.9524,0.8658,1.0952,0.09,1.1499370012599748,0.9090718185636288,1.1000231000231
804001,804,20/09/2021,2,6,21,7100,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,EBG,6,decoy,212.20502766762016,245.0968069561011,129.87012987013017,136.36363636363623,244.03578181776336,245.0968069561011,target,decoy,competitor,0.8658,0.9524,0.9957,-0.09,1.15003465003465,1.1000231000231,0.9090718185636288
804001,804,20/09/2021,2,7,12,14698,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,EFG,7,decoy,212.20502766762016,245.0968069561011,122.4006153836726,141.37271076814173,244.03578181776336,245.0968069561011,competitor,decoy,target,0.8658,0.8658,0.9957,0,1.15003465003465,1,1
804001,804,20/09/2021,2,8,39,11481,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,FEH,8,decoy,122.4006153836726,141.37271076814173,212.20502766762016,245.0968069561011,122.4006153836726,122.9327919722972,competitor,target,decoy,0.8658,0.8658,0.9957,0,1.15003465003465,1,1
804001,804,20/09/2021,2,9,22,7577,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,JAL,9,decoy,137.79547251144095,131.5320419427396,220.00000000000028,230.99999999999932,137.79547251144095,114.37568864586056,decoy,target,competitor,1.0476,0.9524,1.2048,0.1,1.150057273768614,0.9091256204658266,1.0999580008399832
804001,804,20/09/2021,2,10,26,6857,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AJC,10,decoy,220.00000000000028,230.99999999999932,137.79547251144095,131.5320419427396,253.00000000000003,230.99999999999932,competitor,decoy,target,0.9524,1.0476,1.0952,-0.1,1.1499370012599748,1.0999580008399832,0.9091256204658266
804001,804,20/09/2021,2,11,11,8044,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,IBK,11,decoy,228.08130670593567,217.7139745829394,129.87012987013017,136.36363636363623,262.29350271182597,217.7139745829394,competitor,decoy,target,1.0476,0.9524,1.2048,0.1,1.150057273768614,0.9091256204658266,1.0999580008399832
804001,804,20/09/2021,2,12,33,8315,competitor,2,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,BID,12,decoy,129.87012987013017,136.36363636363623,228.08130670593567,217.7139745829394,129.87012987013017,118.57707509881416,competitor,target,decoy,0.9524,1.0476,1.0952,-0.1,1.1499370012599748,1.0999580008399832,0.9091256204658266
804001,804,20/09/2021,2,12,33,13426,target,2,2,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,BID,12,decoy,129.87012987013017,136.36363636363623,228.08130670593567,217.7139745829394,129.87012987013017,118.57707509881416,competitor,target,decoy,0.9524,1.0476,1.0952,-0.1,1.1499370012599748,1.0999580008399832,0.9091256204658266
804001,804,20/09/2021,2,13,2,5013,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AB,13,2menu,220.00000000000028,230.99999999999932,129.87012987013017,136.36363636363623,NA,NA,target,competitor,NA,0.9524,0.9524,NA,0,NA,1,1
804001,804,20/09/2021,2,14,31,7290,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,EF,14,2menu,212.20502766762016,245.0968069561011,122.4006153836726,141.37271076814173,NA,NA,target,competitor,NA,0.8658,0.8658,NA,0,NA,1,1
804001,804,20/09/2021,2,15,23,10444,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AF,15,2menu,220.00000000000028,230.99999999999932,122.4006153836726,141.37271076814173,NA,NA,competitor,target,NA,0.9524,0.8658,NA,0.09,NA,0.9090718185636288,1.1000231000231
804001,804,20/09/2021,2,16,6,11414,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,EB,16,2menu,212.20502766762016,245.0968069561011,129.87012987013017,136.36363636363623,NA,NA,competitor,target,NA,0.8658,0.9524,NA,-0.09,NA,1.1000231000231,0.9090718185636288
804001,804,20/09/2021,2,17,19,8959,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AJ,17,2menu,220.00000000000028,230.99999999999932,137.79547251144095,131.5320419427396,NA,NA,competitor,target,NA,0.9524,1.0476,NA,-0.1,NA,1.0999580008399832,0.9091256204658266
804001,804,20/09/2021,2,18,14,7692,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,IB,18,2menu,228.08130670593567,217.7139745829394,129.87012987013017,136.36363636363623,NA,NA,competitor,target,NA,1.0476,0.9524,NA,0.1,NA,0.9091256204658266,1.0999580008399832
804001,804,20/09/2021,2,19,9,6871,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,BAC,1,similarity,124.2236024844716,130.43478260869554,230.00000000000009,241.5000000000007,253.1508786180531,265.80842254895464,competitor,target,decoy,0.9524,0.9524,0.9524,0,1,1,1
804001,804,20/09/2021,2,20,42,11446,decoy,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,ABD,2,similarity,230.00000000000009,241.5000000000007,124.2236024844716,130.43478260869554,112.86324079694955,118.50640283679654,competitor,decoy,target,0.9524,0.9524,0.9524,0,1,1,1
804001,804,20/09/2021,2,21,18,NA,NA,0,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,FAC,3,similarity,116.85038835572236,134.96219855085957,230.00000000000009,241.5000000000007,253.1508786180531,265.80842254895464,target,decoy,competitor,0.8658,0.9524,0.9524,-0.09,1.1000231000231,1.1000231000231,0.9090718185636288
804001,804,20/09/2021,2,22,1,11776,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AFH,4,similarity,230.00000000000009,241.5000000000007,116.85038835572236,134.96219855085957,106.19374898863302,122.65378008187136,competitor,decoy,target,0.9524,0.8658,0.8658,0.09,0.9090718185636288,0.9090718185636288,1.1000231000231
804001,804,20/09/2021,2,23,28,7744,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,EBD,5,similarity,222.28446425829887,256.73855621833593,124.2236024844716,130.43478260869554,112.86324079694955,118.50640283679654,target,decoy,competitor,0.8658,0.9524,0.9524,-0.09,1.1000231000231,1.1000231000231,0.9090718185636288
804001,804,20/09/2021,2,24,30,8032,competitor,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,BEG,6,similarity,124.2236024844716,130.43478260869554,222.28446425829887,256.73855621833593,244.59091256686088,282.5025040147248,competitor,target,decoy,0.9524,0.8658,0.8658,0.09,0.9090718185636288,0.9090718185636288,1.1000231000231
804001,804,20/09/2021,2,25,38,14162,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,FEG,7,similarity,116.85038835572236,134.96219855085957,222.28446425829887,256.73855621833593,244.59091256686088,282.5025040147248,competitor,decoy,target,0.8658,0.8658,0.8658,0,1,1,1
804001,804,20/09/2021,2,26,40,14194,decoy,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,EFH,8,similarity,222.28446425829887,256.73855621833593,116.85038835572236,134.96219855085957,106.19374898863302,122.65378008187136,competitor,decoy,target,0.8658,0.8658,0.8658,0,1,1,1
804001,804,20/09/2021,2,27,24,6613,target,1,1,NA,10,5,24,Employés,bac,Non,chomage,f,63,1000_2000,7,AJL,9,similarity,230.00000000000009,241.5000000000007,132.0620635615056,126.05924249052865,119.94833210776936,114.49613519377988,target,decoy,competitor,0.9524,1.0476,1.0476,-0.1,1.0999580008399832,1.0999580008399832,0.9091256204658266
