id,treatment,screen,screentype,order,time_1,time_2,time_3,time_4,time_5,choice_1,choice_2,choice_3,choice_4,choice_5,cost_target,cost_competitor,cost_decoy,price_target,price_competitor,price_decoy,size_target,size_competitor,size_decoy,up_target,up_competitor,up_decoy
626312,barres,1,3 options CS,6,9698,10863,12374,13911,14071,target,competitor,competitor,competitor,competitor,3.6,3.06,4.32,108,255,130,90,250,90,1.2,1.02,1.4444444444444444
626312,barres,2,3 options noCS,30,1305,NA,NA,NA,NA,competitor,NA,NA,NA,NA,3.6,3.06,4.32,108,255,302,90,250,210,1.2,1.02,1.438095238095238
626312,barres,3,3 options CS,8,4409,6688,7583,7776,7967,target,target,target,target,target,1.95,1.86,2.34,163,130,195,250,210,250,0.652,0.6190476190476191,0.78
626312,barres,4,3 options noCS,31,1775,8102,10398,NA,NA,target,decoy,decoy,NA,NA,1.95,1.86,2.34,163,130,101,250,210,130,0.652,0.6190476190476191,0.7769230769230769
626312,barres,5,3 options CS,37,5214,NA,NA,NA,NA,target,NA,NA,NA,NA,2.55,2.55,3.06,179,111,214,210,130,210,0.8523809523809524,0.8538461538461538,1.019047619047619
626312,barres,6,3 options noCS,12,4616,8452,8660,9939,10173,decoy,target,target,target,target,2.55,2.55,3.06,179,111,173,210,130,170,0.8523809523809524,0.8538461538461538,1.0176470588235293
626312,barres,7,3 options CS,36,6145,18501,NA,NA,NA,competitor,target,NA,NA,NA,3.15,3.3,3.78,95,232,113,90,210,90,1.0555555555555556,1.1047619047619048,1.2555555555555555
626312,barres,8,3 options noCS,28,3547,11521,13492,NA,NA,target,target,target,NA,NA,3.15,3.3,3.78,95,232,315,90,210,250,1.0555555555555556,1.1047619047619048,1.26
626312,barres,9,3 options CS,22,3199,6533,6708,18004,19851,target,target,target,target,target,3.9,4.5,4.68,273,254,328,210,170,210,1.3,1.4941176470588236,1.561904761904762
626312,barres,10,3 options noCS,4,10267,11476,12387,13060,13771,target,competitor,target,target,target,3.9,4.5,4.68,273,254,390,210,170,250,1.3,1.4941176470588236,1.56
626312,barres,11,3 options CS,25,781,3489,4280,11268,17657,target,competitor,competitor,competitor,competitor,2.25,1.92,2.7,128,159,153,170,250,170,0.7529411764705882,0.636,0.9
626312,barres,12,2 options,9,4259,5399,5655,5823,19423,target,target,target,target,competitor,2.25,1.92,NA,128,159,NA,170,250,NA,0.7529411764705882,0.636,NA
626312,barres,13,3 options CS,7,6034,10928,16031,18104,NA,target,competitor,competitor,competitor,NA,3.9,3.72,4.68,117,309,140,90,250,90,1.3,1.236,1.5555555555555556
626312,barres,14,2 options,17,6517,7401,7746,8369,8674,competitor,competitor,competitor,competitor,competitor,3.9,3.72,NA,117,309,NA,90,250,NA,1.3,1.236,NA
626312,barres,15,3 options CS,32,5002,10167,16110,NA,NA,competitor,target,competitor,NA,NA,3.3,3.3,3.96,187,99,224,170,90,170,1.1,1.1,1.3176470588235294
626312,barres,16,2 options,5,8539,13710,14557,18142,NA,target,competitor,target,competitor,NA,3.3,3.3,NA,187,99,NA,170,90,NA,1.1,1.1,NA
626312,barres,17,3 options CS,29,2773,NA,NA,NA,NA,target,NA,NA,NA,NA,3.75,3.93,4.5,163,276,195,130,210,130,1.2538461538461538,1.3142857142857143,1.5
626312,barres,18,2 options,34,3500,NA,NA,NA,NA,competitor,NA,NA,NA,NA,3.75,3.93,NA,163,276,NA,130,210,NA,1.2538461538461538,1.3142857142857143,NA
626312,barres,19,3 options CS,1,11846,15155,15315,NA,NA,target,target,target,NA,NA,1.95,2.25,2.34,110,97,133,170,130,170,0.6470588235294118,0.7461538461538462,0.7823529411764706
626312,barres,20,2 options,2,2128,3110,3981,5189,6310,target,competitor,target,competitor,target,1.95,2.25,NA,110,97,NA,170,130,NA,0.6470588235294118,0.7461538461538462,NA
626312,barres,21,3 options CS,20,4403,10247,10478,11846,12022,target,target,target,competitor,competitor,2.4,2.04,2.88,72,88,86,90,130,90,0.8,0.676923076923077,0.9555555555555556
626312,barres,22,3 options noCS,24,2067,10005,11980,NA,NA,decoy,competitor,competitor,NA,NA,2.4,2.04,2.88,72,88,240,90,130,250,0.8,0.676923076923077,0.96
626312,barres,23,3 options CS,18,3674,6902,7119,11630,11839,competitor,competitor,competitor,competitor,competitor,3.15,3,3.78,95,209,113,90,210,90,1.0555555555555556,0.9952380952380953,1.2555555555555555
626312,barres,24,3 options noCS,38,9732,NA,NA,NA,NA,target,NA,NA,NA,NA,3.15,3,3.78,95,209,315,90,210,250,1.0555555555555556,0.9952380952380953,1.26
626312,barres,25,3 options CS,10,2037,6460,7507,7690,7859,target,competitor,target,target,target,2.25,2.25,2.7,188,158,225,250,210,250,0.752,0.7523809523809524,0.9
626312,barres,26,3 options noCS,23,3025,14560,14759,14935,17256,target,target,target,target,target,2.25,2.25,2.7,188,158,117,250,210,130,0.752,0.7523809523809524,0.9
626312,barres,27,3 options CS,26,1470,5108,14723,NA,NA,target,target,target,NA,NA,4.05,4.26,4.86,176,128,211,130,90,130,1.353846153846154,1.4222222222222223,1.623076923076923
626312,barres,28,3 options noCS,14,4538,11010,12351,NA,NA,competitor,decoy,decoy,NA,NA,4.05,4.26,4.86,176,128,340,130,90,210,1.353846153846154,1.4222222222222223,1.619047619047619
626312,barres,29,3 options CS,13,7537,8198,9813,11526,13750,competitor,target,target,target,target,2.1,2.43,2.52,175,72,210,250,90,250,0.7,0.8,0.84
626312,barres,30,3 options noCS,19,3066,10193,11079,11311,11520,target,competitor,target,target,target,2.1,2.43,2.52,175,72,143,250,90,170,0.7,0.8,0.8411764705882353
626312,barres,31,3 options CS,33,1517,NA,NA,NA,NA,competitor,NA,NA,NA,NA,3.75,3.18,4.5,113,138,135,90,130,90,1.2555555555555555,1.0615384615384615,1.5
626312,barres,32,2 options,3,9113,19165,19357,20028,NA,target,target,target,target,NA,3.75,3.18,NA,113,138,NA,90,130,NA,1.2555555555555555,1.0615384615384615,NA
626312,barres,33,3 options CS,16,3175,5740,8778,11861,12123,target,target,target,target,target,3,2.85,3.6,130,86,156,130,90,130,1,0.9555555555555556,1.2
626312,barres,34,2 options,15,5308,10376,11848,18632,18840,competitor,competitor,competitor,competitor,competitor,3,2.85,NA,130,86,NA,130,90,NA,1,0.9555555555555556,NA
626312,barres,35,3 options CS,27,890,8943,NA,NA,NA,target,target,NA,NA,NA,3.3,3.3,3.96,275,99,330,250,90,250,1.1,1.1,1.32
626312,barres,36,2 options,11,6821,7521,7680,7817,8010,competitor,competitor,competitor,competitor,competitor,3.3,3.3,NA,275,99,NA,250,90,NA,1.1,1.1,NA
626312,barres,37,3 options CS,40,8395,10012,11163,NA,NA,competitor,target,competitor,NA,NA,2.1,2.22,2.52,63,125,76,90,170,90,0.7,0.7352941176470589,0.8444444444444444
626312,barres,38,2 options,39,3655,12645,NA,NA,NA,competitor,target,NA,NA,NA,2.1,2.22,NA,63,125,NA,90,170,NA,0.7,0.7352941176470589,NA
626312,barres,39,3 options CS,35,6409,8382,12405,12654,13037,decoy,target,competitor,competitor,competitor,3.3,3.81,3.96,143,316,172,130,250,130,1.1,1.264,1.323076923076923
626312,barres,40,2 options,21,5029,9955,10115,11262,11467,competitor,competitor,competitor,competitor,competitor,3.3,3.81,NA,143,316,NA,130,250,NA,1.1,1.264,NA
626646,barres,1,3 options CS,16,2857,11750,NA,NA,NA,target,competitor,NA,NA,NA,3.6,3.06,4.32,108,255,130,90,250,90,1.2,1.02,1.4444444444444444
626646,barres,2,3 options noCS,10,4981,NA,NA,NA,NA,competitor,NA,NA,NA,NA,3.6,3.06,4.32,108,255,302,90,250,210,1.2,1.02,1.438095238095238
