"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw","Chain"
"1",-222.949,-6.21736,1.83956,0.937957,0.873346,5.62096,0.774627,0.944399,1,0,0,1,1,1,1
"2",-233.104,-3.25388,1.73424,0.991167,0.778259,5.64837,0.719217,0.963864,1,0,0,1,2,1,1
"3",-216.043,-4.15562,1.82688,1.12037,0.774809,5.46152,0.787974,0.962664,1,0,0,1,3,1,1
"4",-221.319,-7.38402,1.79914,0.935799,0.786975,5.19424,0.742321,1.00071,1,0,0,1,4,1,1
"5",-217.624,-5.03358,1.77393,1.05042,0.807314,5.55586,0.817321,1.03004,1,0,0,1,5,1,1
"6",-229.934,-0.945926,1.77727,1.05034,0.765698,5.46704,0.750392,0.967145,1,0,0,1,6,1,1
"7",-212.971,-2.09962,1.84985,1.06092,0.73008,5.44391,0.768778,0.989213,1,0,0,1,7,1,1
"8",-230.899,-2.1301,1.80527,1.04642,0.663005,5.5034,0.759972,0.964936,1,0,0,1,8,1,1
"9",-232.147,-2.45585,1.82292,1.03,0.719129,5.48064,0.741371,1.02632,1,0,0,1,9,1,1
"10",-273.065,-4.33639,1.728,1.01505,0.751981,5.71506,0.701709,0.971114,1,0,0,1,10,1,1
"11",-230.428,-1.59204,1.82099,1.04045,0.696928,5.65007,0.724804,0.979829,1,0,0,1,11,1,1
"12",-221.078,-1.51826,1.81162,1.0579,0.759785,5.75134,0.79107,0.983753,1,0,0,1,12,1,1
"13",-214.648,-2.03544,1.86452,1.03509,0.848551,5.59105,0.747734,0.999128,1,0,0,1,13,1,1
"14",-269.83,-3.2044,1.71596,1.06693,0.802143,5.58296,0.763618,1.01187,1,0,0,1,14,1,1
"15",-237.269,-6.34591,1.84868,0.990702,0.785434,5.57298,0.701202,1.04087,1,0,0,1,15,1,1
"16",-213.298,-0.974237,1.78933,1.02105,0.799043,5.42591,0.758346,0.97704,1,0,0,1,16,1,1
"17",-229.93,-2.27022,1.83812,0.986848,0.719323,5.79888,0.748026,1.00037,1,0,0,1,17,1,1
"18",-306.372,-2.12757,1.74351,1.04004,0.730139,5.77701,0.734242,1.00531,1,0,0,1,18,1,1
"19",-230.623,-1.73723,1.75374,1.001,0.731216,5.52707,0.772111,0.993392,1,0,0,1,19,1,1
"20",-232.272,-5.16822,1.83903,0.955881,0.730427,5.95053,0.732182,1.00501,1,0,0,1,20,1,1
"21",-221.09,-5.37126,1.89853,1.01513,0.876623,5.50208,0.733373,0.953289,1,0,0,1,21,1,1
"22",-269.64,-2.77263,1.80919,1.10909,0.791738,5.64508,0.725452,1.00763,1,0,0,1,22,1,1
"23",-216.286,-2.72142,1.84012,0.994572,0.815339,5.45935,0.723949,0.969281,1,0,0,1,23,1,1
"24",-230.336,-1.20598,1.76434,1.01965,0.705112,5.55477,0.757156,0.996255,1,0,0,1,24,1,1
"25",-213.349,-1.6272,1.77406,1.00531,0.790433,5.51771,0.767992,0.953408,1,0,0,1,25,1,1
"26",-215.317,-2.47744,1.84074,1.06773,0.809218,5.87027,0.767423,1.00945,1,0,0,1,26,1,1
"27",-216.615,-3.51488,1.86852,0.97827,0.803126,5.64191,0.773522,1.01126,1,0,0,1,27,1,1
"28",-267.2,-3.63472,1.82924,1.00308,0.657718,5.91616,0.761883,0.996227,1,0,0,1,28,1,1
"29",-231.121,-3.4495,1.77013,1.05445,0.665959,5.33314,0.750321,0.99363,1,0,0,1,29,1,1
"30",-231.096,-1.59633,1.80662,1.01831,0.791351,5.57513,0.714866,0.974243,1,0,0,1,30,1,1
"31",-215.182,-1.69061,1.84205,1.03208,0.815132,5.547,0.786125,0.981639,1,0,0,1,31,1,1
"32",-230.489,-2.93945,1.82561,0.988567,0.713552,5.8284,0.784481,1.00205,1,0,0,1,32,1,1
"33",-231.161,-1.86978,1.81164,1.02103,0.75576,5.64649,0.756258,0.93816,1,0,0,1,33,1,1
"34",-232,-1.77128,1.7891,1.08744,0.750282,5.47829,0.731446,0.983599,1,0,0,1,34,1,1
"35",-214.415,-3.56743,1.78226,1.07028,0.762779,5.31639,0.793314,0.974731,1,0,0,1,35,1,1
"36",-308.192,-5.16842,1.75286,1.02775,0.799015,6.09341,0.716319,0.974185,1,0,0,1,36,1,1
"37",-212.33,-2.09582,1.73615,1.03633,0.855818,5.65665,0.775277,0.985869,1,0,0,1,37,1,1
"38",-232.768,-2.63996,1.78708,0.96636,0.764724,5.46903,0.735487,0.967775,1,0,0,1,38,1,1
"39",-214.043,-5.45256,1.74181,1.04513,0.753405,5.1852,0.76981,0.960053,1,0,0,1,39,1,1
"40",-213.42,-2.77071,1.80615,0.990844,0.810779,5.91814,0.781121,0.998689,1,0,0,1,40,1,1
"41",-214.049,-2.67612,1.78427,1.05954,0.789453,5.3267,0.776175,0.963967,1,0,0,1,41,1,1
"42",-215.472,-1.71929,1.84076,1.03701,0.856001,5.51734,0.753934,0.962664,1,0,0,1,42,1,1
"43",-212.47,-1.02372,1.82078,1.06642,0.780713,5.57275,0.777084,0.993176,1,0,0,1,43,1,1
"44",-217.53,-7.1296,1.83215,0.962575,0.958428,5.95319,0.729664,1.00557,1,0,0,1,44,1,1
"45",-270.05,-6.74458,1.71383,1.06285,0.666397,5.31102,0.784057,1.00377,1,0,0,1,45,1,1
"46",-217.156,-2.98581,1.84458,0.97649,0.735262,5.78224,0.781167,0.974095,1,0,0,1,46,1,1
"47",-229.955,-0.601188,1.79363,1.00824,0.747869,5.63597,0.772107,0.979467,1,0,0,1,47,1,1
"48",-267.123,-1.93065,1.81416,1.07847,0.713759,5.56295,0.723795,0.985197,1,0,0,1,48,1,1
"49",-214.926,-2.44135,1.79567,0.993974,0.748681,5.43462,0.787698,0.968355,1,0,0,1,49,1,1
"50",-231.743,-2.96758,1.80448,0.981907,0.802407,5.74932,0.720341,0.952647,1,0,0,1,50,1,1
"51",-230.292,-0.835626,1.78187,1.00562,0.744453,5.65012,0.764794,1.00285,1,0,0,1,51,1,1
"52",-266.178,-3.11541,1.7899,1.01218,0.795674,6.06328,0.764129,0.980214,1,0,0,1,52,1,1
"53",-268.066,-3.12284,1.7725,1.06413,0.736935,5.7157,0.801931,0.954936,1,0,0,1,53,1,1
"54",-213.942,-2.50491,1.77695,1.0024,0.736219,5.5056,0.780401,0.948492,1,0,0,1,54,1,1
"55",-232.54,-5.12327,1.85287,0.962106,0.822014,5.95099,0.741592,1.01044,1,0,0,1,55,1,1
"56",-216.476,-5.60283,1.78718,1.12431,0.956733,5.78571,0.746153,1.00617,1,0,0,1,56,1,1
"57",-268.585,-3.67416,1.71505,1.06198,0.774891,5.53717,0.726072,0.959983,1,0,0,1,57,1,1
"58",-232.226,-4.48996,1.761,0.990229,0.686821,5.59722,0.811471,0.986457,1,0,0,1,58,1,1
"59",-214.092,-2.00994,1.86591,1.04033,0.857106,5.67708,0.757263,0.978565,1,0,0,1,59,1,1
"60",-212.54,-1.40724,1.81378,1.08172,0.852313,5.56171,0.756714,0.993712,1,0,0,1,60,1,1
"61",-231.965,-1.33881,1.83451,1.0641,0.712122,5.6232,0.770772,0.987227,1,0,0,1,61,1,1
"62",-229.955,-2.35556,1.82056,1.01929,0.645587,5.57735,0.757528,0.992636,1,0,0,1,62,1,1
"63",-233.177,-4.8877,1.78016,0.948884,0.733214,5.44862,0.714001,0.977162,1,0,0,1,63,1,1
"64",-233.402,-4.73933,1.77894,1.01097,0.835319,5.82892,0.716107,0.930546,1,0,0,1,64,1,1
"65",-230.935,-1.60144,1.7521,1.02298,0.824619,5.50656,0.733306,0.976355,1,0,0,1,65,1,1
"66",-213.917,-2.92177,1.79061,1.09901,0.789477,5.39556,0.779764,0.997189,1,0,0,1,66,1,1
"67",-213.592,-3.22872,1.74531,1.04303,0.94981,5.64581,0.757714,0.987225,1,0,0,1,67,1,1
"68",-217.088,-2.52835,1.86063,1.00381,0.830935,5.55384,0.778387,0.998391,1,0,0,1,68,1,1
"69",-215.75,-2.94616,1.77873,1.04305,0.821095,5.39281,0.799322,0.981707,1,0,0,1,69,1,1
"70",-306.536,-2.71308,1.77935,1.09152,0.736502,5.69524,0.713344,0.976713,1,0,0,1,70,1,1
