"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw","Chain"
"1",-1028.71,-2.68436,1.86861,0.972192,0.39993,2.72807,0.597447,0.892671,1.46088,1,0,1,1,1,1
"2",-1024.63,-2.83721,1.79037,0.995871,0.361646,2.58189,0.579425,0.941436,1.46378,1,0,1,2,1,1
"3",-1025.87,-2.42223,1.82721,1.03292,0.332301,2.77346,0.620441,0.98019,1.45139,1,0,1,3,1,1
"4",-1058.85,-7.95313,1.80051,1.08653,0.426596,2.74996,0.604467,0.941997,1.43685,1,0,1,4,1,1
"5",-1026.5,-3.41406,1.86502,0.950264,0.295035,2.74197,0.622618,0.973105,1.48721,1,0,1,5,1,1
"6",-1061.07,-6.90884,1.74793,1.00857,0.306377,2.78593,0.674566,0.970368,1.45701,1,0,1,6,1,1
"7",-1025.67,-2.21506,1.84396,0.978667,0.342058,2.64569,0.569301,0.927587,1.50364,1,0,1,7,1,1
"8",-1028.21,-4.72421,1.82298,1.02109,0.374438,2.5535,0.614275,1.01041,1.44176,1,0,1,8,1,1
"9",-1027.53,-6.53413,1.85941,1.00213,0.339078,2.8191,0.608502,1.01333,1.41252,1,0,1,9,1,1
"10",-1024.18,-2.0757,1.82847,0.99659,0.363927,2.8634,0.601924,0.953544,1.47191,1,0,1,10,1,1
"11",-1024.31,-2.45813,1.83813,0.967051,0.352325,2.75946,0.550949,0.94014,1.46524,1,0,1,11,1,1
"12",-1026.39,-4.01401,1.86267,1.02762,0.339526,2.678,0.652452,0.942887,1.52574,1,0,1,12,1,1
"13",-1022.85,-1.87436,1.8286,1.03865,0.346005,2.66726,0.620512,0.953725,1.49765,1,0,1,13,1,1
"14",-1036.2,-4.26216,1.89298,0.962973,0.345852,2.64321,0.651998,0.892748,1.47188,1,0,1,14,1,1
"15",-1023,-1.76509,1.84953,1.00947,0.347297,2.7856,0.620099,0.922331,1.44919,1,0,1,15,1,1
"16",-1026.44,-4.28568,1.8109,0.978277,0.344797,2.82258,0.565695,0.873317,1.47793,1,0,1,16,1,1
"17",-1022.03,-1.32989,1.83068,1.02869,0.399455,2.72548,0.628488,0.933301,1.48119,1,0,1,17,1,1
"18",-1029.87,-3.21938,1.86995,0.962766,0.306142,2.70753,0.637811,0.902643,1.45879,1,0,1,18,1,1
"19",-1024.31,-3.26419,1.8007,0.972598,0.332717,2.76077,0.674767,0.989306,1.45168,1,0,1,19,1,1
"20",-1030.87,-3.46454,1.84147,0.957822,0.296465,2.58053,0.613044,0.928708,1.46969,1,0,1,20,1,1
"21",-1034.19,-3.80337,1.86981,0.947998,0.421721,2.68044,0.660846,0.979534,1.47362,1,0,1,21,1,1
"22",-1029.85,-3.8151,1.84124,0.952519,0.426992,2.75644,0.562684,0.958048,1.49921,1,0,1,22,1,1
"23",-1024.07,-3.44186,1.81285,0.952112,0.366052,2.79423,0.666633,0.993575,1.49182,1,0,1,23,1,1
"24",-1034.15,-3.82995,1.83524,0.962356,0.419576,2.65057,0.69689,0.941558,1.45822,1,0,1,24,1,1
"25",-1025.73,-4.38177,1.82243,1.00859,0.361293,2.754,0.700671,1.00508,1.50703,1,0,1,25,1,1
"26",-1036.79,-7.8896,1.77164,1.01872,0.423348,2.76724,0.573656,1.04879,1.50698,1,0,1,26,1,1
"27",-1027.28,-4.17395,1.8191,0.984227,0.282344,2.74973,0.66499,0.898487,1.45346,1,0,1,27,1,1
"28",-1023.52,-1.95803,1.8002,0.990941,0.355524,2.75269,0.627599,0.88744,1.46819,1,0,1,28,1,1
"29",-1022.46,-2.00974,1.83439,0.989926,0.367794,2.80793,0.625531,0.96617,1.44199,1,0,1,29,1,1
"30",-1027.76,-1.72357,1.81738,0.988846,0.397543,2.60027,0.64469,0.962528,1.4687,1,0,1,30,1,1
"31",-1023.1,-0.603167,1.82335,0.988506,0.362946,2.69909,0.586908,0.929752,1.48836,1,0,1,31,1,1
"32",-1029.58,-5.17184,1.79449,1.01557,0.31309,2.65535,0.718204,0.965622,1.48508,1,0,1,32,1,1
"33",-1022.32,-1.92859,1.80552,0.974831,0.323573,2.72655,0.571041,0.947352,1.45989,1,0,1,33,1,1
"34",-1027.43,-2.48215,1.82815,0.980091,0.388454,2.62008,0.606392,0.95699,1.51823,1,0,1,34,1,1
"35",-1026.53,-2.77955,1.81584,1.00697,0.395869,2.6209,0.603624,0.889319,1.45253,1,0,1,35,1,1
"36",-1026.63,-3.23542,1.81166,1.00301,0.37138,2.53745,0.600109,0.976622,1.48863,1,0,1,36,1,1
"37",-1022.83,-1.75561,1.82614,0.976015,0.316971,2.78584,0.626405,0.938335,1.45228,1,0,1,37,1,1
"38",-1026.46,-3.96682,1.82394,0.980634,0.282878,2.70233,0.642742,0.986736,1.43776,1,0,1,38,1,1
"39",-1027.5,-2.28428,1.82242,0.994331,0.351976,2.68277,0.683512,0.92225,1.45025,1,0,1,39,1,1
"40",-1025.28,-1.59065,1.83735,0.972202,0.345145,2.65659,0.566622,0.956014,1.46421,1,0,1,40,1,1
"41",-1030.96,-6.09676,1.82055,0.995821,0.328624,2.63196,0.635842,0.878795,1.54161,1,0,1,41,1,1
"42",-1022.17,-0.9365,1.81394,1.01781,0.361403,2.65268,0.609925,0.961528,1.46593,1,0,1,42,1,1
"43",-1030.35,-4.14917,1.83458,0.990924,0.43762,2.65629,0.607865,0.861817,1.49107,1,0,1,43,1,1
"44",-1023.84,-2.03513,1.82647,1.0143,0.407953,2.79697,0.582341,0.964386,1.47309,1,0,1,44,1,1
"45",-1024.35,-0.957359,1.82835,0.982587,0.339342,2.66601,0.596536,0.914269,1.48982,1,0,1,45,1,1
"46",-1025.52,-3.33149,1.84662,1.01996,0.363521,2.76484,0.657117,0.872438,1.46996,1,0,1,46,1,1
"47",-1024.15,-2.27609,1.79011,0.982894,0.416227,2.74488,0.58515,0.947829,1.46295,1,0,1,47,1,1
"48",-1026.14,-3.2396,1.80767,0.997305,0.392061,2.64198,0.540248,0.949438,1.48151,1,0,1,48,1,1
"49",-1024.77,-2.5949,1.87686,1.02784,0.347628,2.74758,0.646156,0.921798,1.48211,1,0,1,49,1,1
