# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-18 12:48:09 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpsTGGY7/standata-61f85a1a2f1c.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpsTGGY7/init-1-61f842df684d.json
# random
#   seed = 603951583
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_barre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,0,0,1.86958,0.95006,0.456291,3.55502,0.682121,1.50135,1,0,0
0,-284.264,-2.70003,1.85962,0.918563,0.422139,3.63241,0.738395,1.46088,1,0,0
0,-285.925,-2.14316,1.84824,0.928827,0.372302,3.59801,0.650099,1.47338,1,0,0
0,-283.989,-0.682126,1.85573,0.930636,0.478964,3.66173,0.685963,1.49346,1,0,0
0,-284.81,-1.17122,1.86255,0.927401,0.388606,3.58285,0.653606,1.48939,1,0,0
0,-286.452,-3.87187,1.8418,0.924231,0.3722,3.31397,0.71153,1.49758,1,0,0
0,-284.686,-2.74943,1.8454,0.889101,0.408977,3.54544,0.706037,1.46802,1,0,0
0,-283.526,-3.59355,1.86551,0.945982,0.61813,3.70036,0.731394,1.51564,1,0,0
0,-285.521,-3.22265,1.89725,0.898827,0.539077,3.5544,0.729812,1.53315,1,0,0
0,-284.908,-1.95232,1.83195,0.9689,0.414978,3.39391,0.690663,1.49203,1,0,0
0,-285.32,-3.1866,1.91361,0.985869,0.365548,3.4779,0.723315,1.49122,1,0,0
0,-284.568,-2.57057,1.84442,0.982149,0.393957,3.3815,0.653132,1.48827,1,0,0
0,-284.162,-0.502337,1.86792,0.974895,0.440065,3.49121,0.695858,1.51152,1,0,0
0,-287.444,-3.01727,1.84515,0.93739,0.362268,3.38314,0.687317,1.53183,1,0,0
0,-288.266,-2.99239,1.84544,0.97739,0.420002,3.57036,0.766617,1.50935,1,0,0
0,-286.154,-3.33358,1.92151,0.928522,0.391203,3.54527,0.644506,1.5431,1,0,0
0,-283.377,-2.73315,1.87807,1.00644,0.418522,3.4077,0.669235,1.46681,1,0,0
0,-283.939,-2.92883,1.91374,0.893507,0.411246,3.59933,0.665371,1.47248,1,0,0
0,-284.349,-2.92095,1.9013,0.923119,0.530067,3.52896,0.738851,1.46757,1,0,0
0,-309.257,-5.54503,1.87594,0.981785,0.407967,3.84497,0.612918,1.52912,1,0,0
0,-284.386,-3.74233,1.89922,1.00336,0.517621,3.57925,0.759274,1.51629,1,0,0
0,-287.392,-2.50298,1.8464,1.01146,0.405398,3.43767,0.661274,1.51266,1,0,0
0,-285.456,-1.8568,1.86801,0.904983,0.418676,3.40355,0.680185,1.51765,1,0,0
0,-284.265,-2.13208,1.91333,0.940412,0.411179,3.39759,0.6811,1.51814,1,0,0
0,-285.372,-4.07259,1.88844,0.875274,0.418578,3.55346,0.708999,1.45222,1,0,0
0,-287.897,-1.71111,1.84463,0.974431,0.37901,3.58461,0.671612,1.47415,1,0,0
0,-284.652,-0.495966,1.87421,0.970063,0.477719,3.55424,0.678132,1.52486,1,0,0
0,-282.91,-1.53525,1.92205,0.945073,0.508218,3.5524,0.670358,1.49705,1,0,0
0,-283.687,-3.66021,1.91532,1.00753,0.559827,3.45545,0.64977,1.50129,1,0,0
0,-296.587,-4.33674,1.84918,0.933785,0.460773,3.91673,0.666771,1.50502,1,0,0
0,-282.945,-2.00355,1.87053,0.981135,0.557532,3.52463,0.730309,1.50047,1,0,0
0,-286.534,-1.00448,1.84337,0.929018,0.40576,3.63729,0.676854,1.49965,1,0,0
0,-285.63,-3.75718,1.92435,0.956955,0.460078,3.3887,0.738741,1.52822,1,0,0
0,-287.253,-6.53904,1.91476,1.05999,0.504579,3.64376,0.68855,1.45287,1,0,0
0,-286.011,-5.14369,1.88068,1.0419,0.441382,3.50181,0.693597,1.43904,1,0,0
0,-287.279,-5.33296,1.85557,0.864309,0.468347,3.54405,0.768412,1.49947,1,0,0
0,-291.795,-2.19505,1.8232,0.953262,0.373292,3.58571,0.689554,1.52387,1,0,0
0,-288.148,-2.36509,1.82367,0.93584,0.489439,3.73013,0.706202,1.5089,1,0,0
0,-287.503,-1.35234,1.83636,0.955873,0.513226,3.60032,0.666631,1.52789,1,0,0
0,-283.239,-2.37658,1.86924,0.936957,0.529191,3.57203,0.684681,1.4445,1,0,0
0,-285.608,-4.04799,1.84467,0.9735,0.624045,3.70688,0.66684,1.46739,1,0,0
0,-284.45,-4.36868,1.90633,0.941712,0.490684,3.79945,0.754894,1.51098,1,0,0
0,-284.165,-3.25844,1.92794,0.966239,0.503032,3.35452,0.672213,1.49747,1,0,0
0,-292.14,-2.74396,1.83871,0.951411,0.399039,3.76391,0.713992,1.48253,1,0,0
