# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-19 13:02:36 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.0050000000000000001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpGU2eYh/standata-8cfc40ff781b.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpGU2eYh/init-1-8cfc684fd5e.json
# random
#   seed = 957596559
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_chiffre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,0,0,1.49289,0.983101,0.277742,2.66465,1.48324,1.34541,1,0,0
0,-465.682,-2.28076,1.55589,0.973896,0.29749,2.64283,1.40256,1.34597,1,0,0
0,-460.042,-8.28939,1.55665,0.989576,0.3197,2.83918,1.47741,1.44939,1,0,0
0,-459.549,-1.53636,1.47295,0.998781,0.259835,2.73103,1.37824,1.35052,1,0,0
0,-461.363,-1.68865,1.49051,0.954653,0.274206,2.61655,1.41185,1.39043,1,0,0
0,-459.422,-1.17665,1.50099,1.03005,0.250968,2.70162,1.42909,1.33444,1,0,0
0,-471.1,-3.61185,1.57281,0.965437,0.284753,2.52247,1.47862,1.33511,1,0,0
0,-462.172,-4.85506,1.55393,1.03324,0.264607,2.86701,1.37877,1.34135,1,0,0
0,-457.112,-2.58424,1.45277,1.02268,0.347018,2.72187,1.49399,1.35071,1,0,0
0,-458.749,-1.24887,1.46423,0.974914,0.320197,2.72377,1.4849,1.32696,1,0,0
0,-458.028,-4.36722,1.44561,0.980364,0.276257,2.66796,1.60492,1.41677,1,0,0
0,-458.772,-1.83718,1.44003,0.949318,0.271444,2.73031,1.46778,1.3636,1,0,0
0,-460.556,-3.19451,1.52015,1.00148,0.227924,2.86158,1.47597,1.34258,1,0,0
0,-457.344,-1.2685,1.44667,0.989811,0.282032,2.75179,1.489,1.34149,1,0,0
0,-458.159,-6.63477,1.48144,1.14004,0.3033,2.50709,1.46626,1.36296,1,0,0
0,-460.688,-1.90629,1.51746,0.950757,0.26696,2.83311,1.48803,1.33118,1,0,0
0,-466.698,-3.38527,1.55272,0.962236,0.225486,2.64709,1.39952,1.35542,1,0,0
0,-463.424,-1.67147,1.53566,0.937276,0.250444,2.67046,1.50927,1.35868,1,0,0
0,-462.637,-2.55218,1.49916,0.964326,0.276744,2.48093,1.52888,1.38012,1,0,0
0,-460.066,-1.80314,1.49324,0.987514,0.274053,2.7675,1.36263,1.34925,1,0,0
0,-459.639,-2.09574,1.48578,0.975759,0.245388,2.5583,1.51558,1.39169,1,0,0
0,-460.704,-0.444771,1.50561,0.992227,0.252711,2.64092,1.45443,1.33997,1,0,0
0,-462.918,-2.92995,1.53167,0.961691,0.347921,2.73967,1.56269,1.33493,1,0,0
0,-459.8,-3.01591,1.46044,1.05686,0.305614,2.63927,1.53466,1.30255,1,0,0
0,-465.108,-3.19195,1.50257,1.01809,0.238098,2.6114,1.37331,1.30031,1,0,0
0,-456.858,-3.07861,1.44655,1.06698,0.31417,2.66346,1.46607,1.36722,1,0,0
0,-462.175,-2.30329,1.46997,0.899184,0.266784,2.69917,1.49235,1.36535,1,0,0
0,-469.76,-2.81798,1.48285,0.907639,0.262456,2.56769,1.411,1.31916,1,0,0
0,-458.402,-0.853,1.49336,0.997496,0.24669,2.64732,1.55426,1.34378,1,0,0
0,-464.225,-5.85352,1.42488,0.97294,0.207813,2.64064,1.48145,1.29075,1,0,0
0,-457.871,-2.55718,1.45336,0.977947,0.319765,2.65314,1.51114,1.39815,1,0,0
0,-462.138,-3.75495,1.50101,1.0685,0.244419,2.53742,1.48173,1.30269,1,0,0
0,-466.681,-3.22183,1.55662,1.01501,0.321372,2.60597,1.41901,1.32063,1,0,0
0,-463.392,-2.7812,1.48008,0.970375,0.300994,2.47843,1.57941,1.3419,1,0,0
0,-459.594,-2.81659,1.52756,1.00786,0.285462,2.61428,1.43784,1.40974,1,0,0
0,-460.985,-2.2949,1.53189,0.933369,0.306464,2.77833,1.47457,1.36711,1,0,0
0,-458.819,-0.988763,1.51737,1.01664,0.281101,2.60439,1.50676,1.36946,1,0,0
0,-461.466,-1.0791,1.48164,0.94034,0.277358,2.73431,1.48946,1.31845,1,0,0
0,-461.867,-1.42813,1.46914,0.976566,0.266719,2.69739,1.403,1.31247,1,0,0
0,-457.472,-2.63163,1.45124,0.972511,0.279993,2.66846,1.64003,1.35612,1,0,0
0,-465.636,-1.95926,1.49044,0.986839,0.26171,2.57955,1.44178,1.29319,1,0,0
0,-460.825,-2.99571,1.52791,1.00136,0.242659,2.56237,1.6191,1.35124,1,0,0
0,-457.293,-3.09621,1.47145,1.03941,0.349865,2.74972,1.52186,1.36907,1,0,0
0,-460.189,-3.13161,1.44544,1.0028,0.318585,2.49899,1.52762,1.35262,1,0,0
