# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# start_datetime = 2022-06-21 12:14:55 UTC
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/Rtmp4KhtgB/standata-8db446b11312.json
# init = C:/Users/alescia/AppData/Local/Temp/Rtmp4KhtgB/init-1-8db42b183948.json
# random
#   seed = 838267205
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_gen_exp2_2-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.28.1
# stancflags = --name=mlba_single_v8_Frechet_generalized_model
lp__,log_p__,log_g__,I,m,lam,gamma,beta,alpha,k,tau,delta
# Stepsize adaptation complete.
# eta = 1
0,0,0,1.29084,0.872311,0.966944,5.45537,0.85033,1.46394,1,0,0
0,-5198.84,-2.09901,1.28643,0.897789,0.966773,5.53154,0.855054,1.46713,1,0,0
0,-5190.42,-1.5541,1.29431,0.866056,0.924934,5.33405,0.850547,1.4626,1,0,0
0,-5191.92,-3.61437,1.31362,0.871806,0.972628,5.4533,0.850129,1.48698,1,0,0
0,-5197.46,-7.44278,1.28448,0.892435,0.890906,5.18266,0.848992,1.47535,1,0,0
0,-5189.2,-2.90728,1.29413,0.854573,0.964235,5.52928,0.85692,1.44535,1,0,0
0,-5195.82,-3.63083,1.28601,0.887221,1.05308,5.50783,0.85142,1.47039,1,0,0
0,-5193.5,-0.46292,1.28729,0.880872,0.96315,5.39935,0.847963,1.46587,1,0,0
0,-5200.31,-2.33266,1.28186,0.864797,0.98096,5.65309,0.848807,1.47044,1,0,0
0,-5193.37,-4.3081,1.28526,0.858494,0.904176,5.27662,0.844745,1.46309,1,0,0
0,-5187.74,-2.32088,1.29694,0.864443,0.973254,5.39922,0.855594,1.44351,1,0,0
0,-5197.18,-1.6676,1.2783,0.889191,0.977878,5.41295,0.846403,1.45948,1,0,0
0,-5193.94,-2.16008,1.3049,0.87829,0.997696,5.5539,0.845124,1.46735,1,0,0
0,-5202.35,-6.42072,1.29887,0.883521,1.00328,5.42129,0.840046,1.49623,1,0,0
0,-5194.49,-2.01975,1.27778,0.891811,0.985057,5.41408,0.853113,1.45533,1,0,0
0,-5200.01,-2.92534,1.28802,0.889162,0.982762,5.66022,0.854973,1.46714,1,0,0
0,-5189.1,-5.391,1.2984,0.870718,0.976794,5.18067,0.859664,1.46208,1,0,0
0,-5191.06,-7.53626,1.29465,0.878841,1.02844,5.15194,0.859451,1.45867,1,0,0
0,-5190.29,-1.02122,1.29226,0.876184,0.98048,5.50949,0.853303,1.45025,1,0,0
0,-5196,-3.71953,1.27692,0.87286,0.961864,5.42813,0.862056,1.47438,1,0,0
0,-5190.91,-1.34301,1.29429,0.876538,1.01293,5.52755,0.849905,1.45611,1,0,0
0,-5194.52,-1.37753,1.28797,0.868674,0.9575,5.48636,0.856224,1.4774,1,0,0
0,-5195.36,-0.843327,1.29032,0.868418,0.946809,5.57313,0.851661,1.46201,1,0,0
0,-5188.62,-1.90911,1.28928,0.862294,1.00216,5.31152,0.853887,1.46124,1,0,0
0,-5196.88,-1.60989,1.28803,0.861003,0.934463,5.57363,0.847947,1.45712,1,0,0
0,-5196.19,-7.62035,1.28771,0.877281,0.886333,5.22505,0.839782,1.46709,1,0,0
0,-5195.99,-3.86211,1.28265,0.853112,0.952952,5.4651,0.860402,1.47994,1,0,0
0,-5192.79,-1.16727,1.29049,0.868049,0.984081,5.41039,0.851143,1.48079,1,0,0
0,-5189.27,-2.81568,1.28874,0.844285,0.956972,5.32766,0.848248,1.45521,1,0,0
0,-5190.01,-2.05385,1.30356,0.874285,0.972853,5.34152,0.844059,1.46939,1,0,0
0,-5189.74,-4.97368,1.30617,0.888739,0.997184,5.29254,0.858768,1.4781,1,0,0
0,-5188.69,-3.16172,1.28745,0.866143,0.955256,5.273,0.849685,1.44279,1,0,0
0,-5193.16,-2.81704,1.27971,0.857274,1.01254,5.55483,0.855493,1.46999,1,0,0
0,-5195.45,-6.46128,1.28682,0.883391,0.971363,5.25832,0.835349,1.46219,1,0,0
0,-5193.93,-2.28308,1.293,0.881553,0.967627,5.38036,0.854989,1.48509,1,0,0
0,-5189.87,-1.61337,1.28962,0.849478,0.992959,5.51109,0.849043,1.46,1,0,0
0,-5199.36,-5.27161,1.28069,0.840336,0.96594,5.42426,0.843617,1.48741,1,0,0
0,-5192.27,-1.44151,1.30804,0.880993,0.958504,5.49818,0.848241,1.46384,1,0,0
0,-5190.16,-1.95426,1.28823,0.874874,1.01411,5.36701,0.846897,1.45199,1,0,0
0,-5189.12,-1.23556,1.29333,0.855455,0.94707,5.36391,0.850614,1.45941,1,0,0
0,-5189.05,-0.706072,1.29918,0.86041,0.968977,5.43026,0.851746,1.46891,1,0,0
0,-5190.9,-1.0032,1.28128,0.864205,0.978751,5.41465,0.849014,1.45347,1,0,0
0,-5190.46,-1.96974,1.29735,0.859638,0.991672,5.47016,0.855001,1.47976,1,0,0
