"","lp__","lp_approx__","I","m","lam","gamma","beta","alpha","k","tau","delta",".chain",".iteration",".draw"
"1",-5203.88,-4.64172,1.33198,0.822144,1.00275,5.48396,0.854931,1.41153,1,0,0,1,1,1
"2",-5197.13,-1.71148,1.339,0.849203,1.04475,5.32724,0.84603,1.44116,1,0,0,1,2,2
"3",-5191.38,-4.34689,1.32041,0.857751,1.05012,5.4253,0.841313,1.46324,1,0,0,1,3,3
"4",-5192.41,-2.56447,1.33396,0.86206,1.02032,5.49379,0.843235,1.4571,1,0,0,1,4,4
"5",-5192.46,-1.66153,1.32548,0.828395,1.00111,5.37934,0.848667,1.44181,1,0,0,1,5,5
"6",-5203.51,-3.97643,1.33268,0.805447,1.00271,5.34354,0.862206,1.44358,1,0,0,1,6,6
"7",-5198.35,-4.81078,1.33266,0.869745,0.936809,5.25259,0.857211,1.42365,1,0,0,1,7,7
"8",-5198.92,-3.08658,1.3475,0.826868,0.998537,5.45768,0.862997,1.45867,1,0,0,1,8,8
"9",-5190,-2.86325,1.31916,0.878996,1.01517,5.29368,0.863048,1.45484,1,0,0,1,9,9
"10",-5197.29,-2.60484,1.32953,0.879153,1.0066,5.33342,0.854978,1.42156,1,0,0,1,10,10
"11",-5198.59,-4.02136,1.35994,0.85665,1.01007,5.45879,0.851238,1.4633,1,0,0,1,11,11
"12",-5199.74,-3.60195,1.32826,0.839314,1.02181,5.06483,0.854255,1.44773,1,0,0,1,12,12
"13",-5190.81,-4.30421,1.31128,0.853386,1.02038,5.25468,0.842814,1.43695,1,0,0,1,13,13
"14",-5187.81,-2.90493,1.31243,0.867849,1.00715,5.54272,0.856741,1.4478,1,0,0,1,14,14
"15",-5189.47,-1.31281,1.31968,0.840938,1.01325,5.38389,0.857865,1.45746,1,0,0,1,15,15
"16",-5191.05,-4.84341,1.31217,0.878896,1.07905,5.45522,0.855437,1.44461,1,0,0,1,16,16
"17",-5195.7,-2.04753,1.33269,0.86371,1.03945,5.51125,0.861116,1.42913,1,0,0,1,17,17
"18",-5194.32,-4.16743,1.34138,0.869128,0.937735,5.28912,0.860645,1.45725,1,0,0,1,18,18
"19",-5188.32,-2.41774,1.3192,0.855362,1.01307,5.33858,0.849865,1.46794,1,0,0,1,19,19
"20",-5189.58,-4.1798,1.32834,0.864562,0.94198,5.23758,0.848623,1.45868,1,0,0,1,20,20
"21",-5191.45,-3.96581,1.314,0.840519,0.98795,5.23485,0.845213,1.43441,1,0,0,1,21,21
"22",-5199.84,-2.81892,1.33301,0.823611,1.05355,5.26061,0.849769,1.44121,1,0,0,1,22,22
"23",-5194.58,-0.833327,1.3287,0.863424,1.02173,5.36403,0.857883,1.43169,1,0,0,1,23,23
"24",-5193.79,-3.01007,1.31678,0.865797,1.02921,5.21467,0.863715,1.44359,1,0,0,1,24,24
"25",-5202.89,-6.30284,1.34642,0.890744,0.997386,5.68292,0.848148,1.43993,1,0,0,1,25,25
"26",-5195.54,-1.35629,1.33564,0.831832,1.0147,5.26847,0.853116,1.45561,1,0,0,1,26,26
"27",-5198.55,-2.22015,1.34895,0.845671,0.974952,5.28369,0.85799,1.45468,1,0,0,1,27,27
"28",-5195.39,-2.48048,1.31858,0.83306,1.04816,5.36802,0.856971,1.43089,1,0,0,1,28,28
"29",-5194.3,-1.73547,1.33828,0.843633,1.03691,5.47688,0.84613,1.44531,1,0,0,1,29,29
"30",-5196.6,-1.22072,1.33998,0.828004,0.998691,5.4219,0.854619,1.44454,1,0,0,1,30,30
