# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_single_v8_Frechet_generalized_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = C:/Users/alescia/AppData/Local/Temp/RtmpOCcGum/standata-33b81c411842.json
# init = C:/Users/alescia/AppData/Local/Temp/RtmpOCcGum/init-1-33b84e286c44.json
# random
#   seed = 1584339822
# output
#   file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/fit_gen_barre_1-1.csv
#   diagnostic_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/alescia/Dropbox/Research/CS3/05-Analysis/LMBAR/Single_estimates/mlba_single_v8_Frechet_generalized-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,1.123,-254.923
200,2.254,-264.255
300,3.365,-306.784
400,4.476,-182.324
500,5.605,-153.709
600,6.757,-247.32
700,7.899,-188.517
800,9.131,-253.431
900,10.255,-288.958
1000,11.372,-202.648
1100,12.576,-239.211
1200,13.673,-261.13
1300,14.889,-272.503
1400,16.068,-180.02
1500,17.201,-255.108
1600,18.534,-206.24
1700,19.904,-241.063
1800,21.179,-230.062
1900,22.436,-281.361
2000,23.58,-265.841
2100,24.783,-236.065
2200,26.018,-233.064
2300,27.196,-238.248
2400,28.592,-237.701
2500,29.982,-240.749
2600,31.207,-236.282
2700,32.449,-236.321
2800,33.643,-239.27
2900,34.897,-234.961
3000,36.098,-250.887
3100,37.395,-238.718
3200,38.566,-237.271
3300,39.732,-246.396
3400,40.93,-234.665
3500,42.139,-252.697
3600,43.392,-239.157
3700,44.567,-233.86
3800,45.716,-250.686
3900,46.965,-238.176
4000,48.107,-243.474
4100,49.476,-236.592
4200,50.637,-258.597
4300,51.862,-237.757
4400,53.03,-246.842
4500,54.173,-243.413
4600,55.336,-234.841
4700,56.502,-245.429
4800,57.793,-255.416
4900,59.155,-262.041
5000,60.473,-244.701
5100,61.647,-234.422
5200,62.82,-243.641
5300,64.017,-236.872
5400,65.162,-241.99
5500,66.344,-232.621
5600,67.498,-244.688
5700,69.009,-236.581
5800,70.487,-240.734
5900,71.785,-256.814
6000,72.955,-235.758
6100,74.126,-237.309
6200,75.5,-235.356
6300,76.698,-235.456
6400,78.293,-235.438
6500,79.765,-238.639
6600,80.972,-235.761
6700,82.169,-269.381
6800,83.343,-240.023
6900,84.542,-242.311
7000,85.714,-232.469
7100,86.888,-233.013
7200,88.155,-233.197
7300,90.097,-235.354
7400,91.966,-236.28
7500,93.549,-249.443
7600,95.275,-246.77
7700,97.734,-240.885
7800,99.581,-275.769
7900,101.152,-259.275
8000,102.409,-234.375
8100,103.848,-235.095
8200,105.648,-240.373
8300,107.253,-242.046
8400,109.106,-278.777
8500,110.823,-249.93
8600,112.325,-239.016
8700,113.733,-233.065
8800,114.919,-265.901
8900,116.093,-234.14
9000,117.309,-234.041
9100,118.861,-234.68
9200,120.553,-248.024
9300,122.617,-233.401
9400,124.566,-241.169
9500,126.142,-233.451
9600,127.311,-234.615
9700,128.529,-234.195
9800,129.903,-239.103
9900,131.136,-250.036
10000,132.465,-241.956
