"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"1",-924.187,-1.40704,1.51224,0.96298,0.139389,2.64006,1.20233,0.881853,1.35594,1,0,1,1,1
"2",-928.882,-3.87553,1.48264,0.986853,0.124558,2.45584,1.25178,1.04014,1.34563,1,0,1,2,2
"3",-925.38,-3.82793,1.54929,1.03004,0.0989586,2.49753,1.1118,0.925559,1.38953,1,0,1,3,3
"4",-923.325,-6.90578,1.42876,0.993597,0.100521,2.59037,1.37028,0.868794,1.31461,1,0,1,4,4
"5",-924.8,-4.85308,1.43811,0.988624,0.137496,2.72281,1.31019,0.850421,1.36878,1,0,1,5,5
"6",-929.762,-3.18766,1.47137,0.995176,0.0914199,2.79042,1.20791,0.873956,1.37221,1,0,1,6,6
"7",-924.374,-2.2522,1.4765,1.03037,0.118894,2.75296,1.343,0.976856,1.3412,1,0,1,7,7
"8",-926.025,-2.0747,1.54242,0.985066,0.124231,2.6205,1.41004,0.996808,1.3447,1,0,1,8,8
"9",-924.615,-4.34157,1.47111,0.999966,0.0933042,2.49026,1.26554,0.892922,1.31561,1,0,1,9,9
"10",-923.327,-2.59713,1.46794,1.02344,0.143741,2.62418,1.37083,0.962926,1.35904,1,0,1,10,10
"11",-921.296,-1.78712,1.49726,1.00176,0.0915818,2.62573,1.2824,1.00499,1.35675,1,0,1,11,11
"12",-922.95,-2.61674,1.50306,1.01141,0.127383,2.74207,1.23301,1.01076,1.39989,1,0,1,12,12
"13",-921.522,-1.27928,1.49088,1.02649,0.116315,2.7031,1.27319,0.885018,1.3678,1,0,1,13,13
"14",-924.093,-3.16245,1.52184,0.982412,0.117902,2.81438,1.06825,0.884304,1.3255,1,0,1,14,14
"15",-931.115,-3.20933,1.51236,1.02012,0.0830036,2.8381,1.22351,1.00277,1.36513,1,0,1,15,15
"16",-925.299,-3.3822,1.50744,1.00533,0.119668,2.58056,1.51889,0.90223,1.33912,1,0,1,16,16
"17",-926.635,-2.53252,1.46666,1.02295,0.121055,2.75289,1.10933,0.912516,1.35868,1,0,1,17,17
"18",-924.464,-2.87432,1.4918,0.96317,0.142497,2.64116,1.20347,1.04615,1.35679,1,0,1,18,18
"19",-927.372,-1.87026,1.54094,0.993288,0.134334,2.5284,1.1149,0.912771,1.36614,1,0,1,19,19
"20",-925.632,-9.53587,1.47417,1.02406,0.063169,2.44782,1.05755,0.970936,1.32329,1,0,1,20,20
"21",-923.982,-1.66229,1.54481,0.97023,0.0989152,2.64161,1.34391,0.952539,1.34857,1,0,1,21,21
"22",-923.109,-1.72319,1.49377,0.994833,0.103114,2.77924,1.16675,0.889385,1.33638,1,0,1,22,22
"23",-927.465,-5.12406,1.46502,0.954994,0.112701,2.77425,1.06898,1.01591,1.33843,1,0,1,23,23
"24",-921.478,-2.23959,1.49645,1.04899,0.117929,2.67247,1.12776,0.900619,1.33249,1,0,1,24,24
"25",-926.258,-3.85016,1.5192,1.02143,0.158428,2.9262,1.22081,1.01488,1.34425,1,0,1,25,25
"26",-922.642,-6.39224,1.49998,1.08634,0.176183,2.57033,1.08364,0.994209,1.3577,1,0,1,26,26
"27",-920.671,-1.66769,1.53326,0.998818,0.11733,2.73837,1.36971,0.900573,1.38173,1,0,1,27,27
"28",-926.736,-5.19333,1.57949,0.991212,0.0925122,2.59404,1.38236,0.99338,1.4005,1,0,1,28,28
"29",-929.78,-5.35521,1.5831,1.00274,0.0738685,2.54347,1.13649,0.98371,1.34507,1,0,1,29,29
"30",-923.629,-5.67286,1.52342,1.01004,0.0742453,2.70348,1.37605,1.02487,1.30891,1,0,1,30,30
"31",-923.534,-2.43546,1.54352,0.953457,0.0958711,2.73419,1.30755,0.909629,1.34135,1,0,1,31,31
"32",-925.99,-2.47265,1.54271,0.97828,0.1609,2.69239,1.25468,1.01255,1.32877,1,0,1,32,32
"33",-931.616,-3.61612,1.48059,1.02351,0.088651,2.75349,1.09412,0.94082,1.38212,1,0,1,33,33
"34",-931.898,-4.47425,1.51862,1.02893,0.167214,2.55255,1.34577,0.977769,1.30301,1,0,1,34,34
"35",-926.579,-2.27295,1.56028,1.02914,0.136592,2.59738,1.3543,0.886902,1.34211,1,0,1,35,35
"36",-930.235,-2.0373,1.52025,0.97812,0.145641,2.51247,1.27176,0.980335,1.33634,1,0,1,36,36
