"","lp__","lp_approx__","I","m","lam","gamma","beta","stay","alpha","k","tau",".chain",".iteration",".draw"
"1",-9441.96,-2.13891,1.3082,0.893734,0.850589,4.65122,0.885256,1.05807,1.45899,1,0,1,1,1
"2",-9439.21,-2.0152,1.29922,0.924002,0.829266,4.70684,0.881621,1.09303,1.4441,1,0,1,2,2
"3",-9434.04,-2.58151,1.2993,0.927907,0.83169,4.69324,0.8785,1.05797,1.4602,1,0,1,3,3
"4",-9438.72,-5.41896,1.29873,0.932148,0.845785,4.78676,0.87203,1.09814,1.46197,1,0,1,4,4
"5",-9441.34,-4.38307,1.32301,0.916893,0.882163,4.68783,0.872208,1.08889,1.46155,1,0,1,5,5
"6",-9438.66,-0.674196,1.3019,0.910055,0.846168,4.66459,0.882969,1.07122,1.44886,1,0,1,6,6
"7",-9439.28,-1.06614,1.30373,0.917776,0.847806,4.58016,0.881911,1.07155,1.4512,1,0,1,7,7
"8",-9442.73,-1.09566,1.31799,0.916255,0.848073,4.71817,0.880287,1.11521,1.45175,1,0,1,8,8
"9",-9438.43,-6.0586,1.31275,0.909333,0.880611,4.86541,0.887042,1.02843,1.45109,1,0,1,9,9
"10",-9442.16,-1.83416,1.32704,0.914685,0.858246,4.68695,0.881313,1.04866,1.45576,1,0,1,10,10
"11",-9437.03,-2.26561,1.30429,0.908647,0.855433,4.65642,0.885475,1.06479,1.4666,1,0,1,11,11
"12",-9439.21,-3.7326,1.30476,0.896608,0.81755,4.7316,0.879065,1.10196,1.46716,1,0,1,12,12
"13",-9448.75,-3.36104,1.32038,0.891882,0.828742,4.53439,0.881165,1.08033,1.45816,1,0,1,13,13
"14",-9445.34,-2.50347,1.32438,0.892103,0.857163,4.67354,0.876159,1.08613,1.45616,1,0,1,14,14
"15",-9435.83,-1.90995,1.30341,0.917413,0.860795,4.80411,0.877866,1.07282,1.45105,1,0,1,15,15
"16",-9440.58,-5.67966,1.3049,0.89922,0.834827,4.475,0.871506,1.0589,1.45606,1,0,1,16,16
"17",-9443.82,-3.98675,1.29525,0.906882,0.883484,4.66203,0.877741,1.10727,1.43898,1,0,1,17,17
"18",-9436.14,-3.98387,1.29269,0.897073,0.833431,4.64629,0.879758,1.04204,1.46354,1,0,1,18,18
