# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_mixed_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = /tmp/Rtmpbroth8/standata-2335d6efed9a9.json
# init = /tmp/Rtmpbroth8/init-1-2335d314a348a.json
# random
#   seed = 333450480
# output
#   file = /home/NET1/gaudale/Mixed_estimates/rev_mix_fit_gen_chiffre_1-1.csv
#   diagnostic_file = /home/NET1/gaudale/Mixed_estimates/mlba_revision_v9_Frechet_generalized_mixed-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/NET1/gaudale/Mixed_estimates/mlba_revision_v9_Frechet_generalized_mixed-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,1.718,-1790.49
200,3.416,-1382.72
300,5.147,-1151.76
400,6.842,-1024.44
500,8.534,-917.842
600,10.236,-865.066
700,11.945,-818.377
800,13.65,-796.643
900,15.356,-766.546
1000,17.056,-738.458
1100,18.739,-736.342
1200,20.474,-708.332
1300,22.17,-688.177
1400,23.901,-683.679
1500,25.604,-669.978
1600,27.296,-665.608
1700,29.001,-656.675
1800,30.69,-643.911
1900,32.445,-640.913
2000,34.153,-640.686
2100,35.845,-632.123
2200,37.531,-620.753
2300,39.22,-617.678
2400,40.905,-617.867
2500,42.589,-607.805
2600,44.302,-612.221
2700,45.992,-609.572
2800,47.774,-599.11
2900,49.49,-599.148
3000,51.197,-595.303
3100,52.892,-596.729
3200,54.606,-592.358
3300,56.297,-595.361
3400,57.987,-591.309
3500,59.688,-584.123
3600,61.395,-586.298
3700,63.03600,565.286,-6923.78
3700,580.932,-6914.09
3800,596.558,-6913.97
3900,612.219,-6889.16
4000,628.153,-6895.67
8.61
4300,73.449,-580.035
4400,75.145,-580.114
4500,76.838,-575.946
4600,78.533,-580.884
4700,80.217,-577.509
4800,81.908,-579.599
4900,83.605,-574.276
5000,85.296,-577.738
5100,86.99,-574.183
5200,88.674,-571.773
5300,90.37,-575.723
5400,92.085,-575.957
5500,93.783,-576.771
5600,95.484,-577.209
5700,97.164,-576.714
5800,98.849,-576.287
5900,100.535,-573.34
6000,102.231,-574.91
6100,103.943,-575.861
6200,105.667,-573.613
6300,107.364,-571.99
6400,109.066,-570.293
6500,110.762,-572.658
6600,112.46,-573.312
6700,114.177,-571.742
6800,115.887,-573.025
6900,117.596,-573.896
7000,119.295,-574.786
7100,121.032,-573.679
7200,122.742,-570.813
7300,124.494,-570.016
7400,126.303,-571.121
7500,128.074,-575.152
7600,129.826,-572.439
7700,131.574,-569.551
7800,133.322,-573.872
7900,135.043,-573.885
8000,136.732,-571.325
8100,138.418,-573.88
104,-742.699
8200,200.588,-743.965
8300,202.952,-745.029
8400,205.279,-738.756
8500,207.73,-746.192
8600,210.237,-739.342
8700,212.716,-741.011
8800,215.181,-742.184
8900,217.65,-742.836
9000,220.07,-741.066
9100,222.532,-741.422
9200,225.026,-738.889
9300,227.516,-741.17
9400,230.006,-740.106
9500,232.487,-739.577
9600,234.836,-735.521
9700,237.233,-742.127
9800,239.738,-740.866
9900,242.218,-737.354
10000,244.715,-742.887
