# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = mlba_revision_v9_Frechet_generalized_mixed_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.001
#     eval_elbo = 100 (Default)
#     output_samples = 2000
# id = 1 (Default)
# data
#   file = /tmp/Rtmpbroth8/standata-2335d3366de78.json
# init = /tmp/Rtmpbroth8/init-1-2335d775ada25.json
# random
#   seed = 282623141
# output
#   file = /home/NET1/gaudale/Mixed_estimates/rev_mix_fit_gen_chiffre_2-1.csv
#   diagnostic_file = /home/NET1/gaudale/Mixed_estimates/mlba_revision_v9_Frechet_generalized_mixed-diagnostic-1.csv
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = /home/NET1/gaudale/Mixed_estimates/mlba_revision_v9_Frechet_generalized_mixed-profile-1.csv
# num_threads = 1 (Default)
# iter,time_in_seconds,ELBO
100,1.827,-2548.65
200,3.551,-1550.93
300,5.26,-1256.4
400,6.997,-1083.15
500,8.697,-989.519
600,10.41,-912.439
700,12.105,-866.939
800,13.809,-831.191
900,15.513,-797.495
1000,17.227,-776.552
1100,18.93,-745.096
1200,20.631,-732.547
1300,22.34,-720.64
1400,24.039,-711.396
1500,25.731,-691.27
1600,27.455,-680.995
1700,29.17,-668.272
1800,30.878,-658.906
1900,32.596,-651.607
2000,34.304,-645.901
2100,36.011,-638.543
2200,37.708,-631.412
2300,39.412,-627.355
2400,41.112,-623.251
2500,42.805,-617.474
2600,44.496,-613.781
2700,46.196,-607.925
2800,47.913,-606.914
2900,49.622,-598.096
3000,51.37,-599.4
3100,53.22,-597.105
3200,54.941,-592.318
3300,56.709,-599.127
3400,58.42,-592.225
3500,60.122,-588.803
3600,61.823,-581.719
3700,63.525,-589.914
3800,65.23,-588.683
3900,66.958,-584.776
4000,68.666,-585.468
4100,70.369,-585.817
4200,72.069,-579.46
4300,73.777,-585.442
4400,75.48,-579.418
4500,77.203,-579.933
4600,78.919,-581.234
4700,80.619,-578.348
4800,82.328,-581.765
4900,84.033,-574.91
5000,85.737,-576.579
5100,87.453,-574.978
5200,89.145,-578.687
5300,90.835,-575.754
5400,92.535,-580.148
5500,94.229,-575.748
5600,95.93,-573.376
5700,97.631,-578.721
5800,99.356,-574.43
5900,101.059,-575.918
6000,102.754,-573.502
6100,104.449,-570.106
6200,106.155,-575.52
6300,107.856,-570.596
6400,109.552,-577.504
6500,111.244,-573.891
6600,112.949,-571.265
6700,114.648,-574.126
6800,116.379,-568.816
6900,118.081,-572.924
7000,119.778,-568.288
7100,121.487,-569.82
7200,123.182,-574
7300,124.878,-574.819
7400,126.59,-570.094
7500,128.288,-574.355
7600,129.977,-571.789
7700,131.702,-572.647
7800,133.43,-570.163
7900,135.122,-571.159
8000,136.852,-571.212
