"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-237.007654,-230.591,28.0475723655557,22.3316625,-303.91,-212.87455,1.00083638180427,2112.30825395519,1925.66527399958
"2","lp_approx__",-3.024596196,-2.70305,1.69737833820123,1.563601851,-6.2581315,-0.87936225,0.999704850019886,1977.68819052063,1750.95448853492
"3","I",1.798880145,1.798385,0.040777957925272,0.0390590970000003,1.733026,1.8675405,1.00031700883174,1956.24030813551,2003.88489292958
"4","m",1.035742701,1.035485,0.0405906703980765,0.0408382170000001,0.9706016,1.103014,1.00057063968936,2006.06606200513,1963.25217969643
"5","lam",0.7794834095,0.775134,0.0726936461398406,0.0703478874,0.66527235,0.90621115,0.999742354399237,1943.5986588544,2003.46196224318
"6","gamma",5.64178107,5.641035,0.178062491007812,0.179231514000001,5.342834,5.9320145,0.999547284840478,2096.62978307236,2047.06098959464
"7","beta",0.754964716,0.754908,0.0246622629914668,0.0234851253,0.71577055,0.7959399,0.999755892322345,1997.91530413231,1850.27829287618
"8","alpha",0.98384719,0.984371,0.0248483270314126,0.0251233983,0.9436315,1.0250175,0.999971264386573,1873.21044581769,1969.38045256499
"9","k",1,1,0,0,1,1,NA,NA,NA
"10","tau",0,0,0,0,0,0,NA,NA,NA
"11","delta",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
