"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-461.9723835,-461.2355,3.79151534359656,3.5159859,-469.4737,-457.34495,0.999733841614459,2036.41481881132,1861.48172218825
"2","lp_approx__",-3.137277514,-2.755385,1.83982886182904,1.590748257,-6.7008025,-0.89218065,0.999912342248675,1703.9581306084,1901.63828814863
"3","I",1.49324928,1.49305,0.0362644126988953,0.0371020649999999,1.433499,1.5529725,0.999780635777892,1928.14888083316,1960.66757018912
"4","m",0.9847102675,0.982957,0.0477045422121707,0.0464157582,0.9076941,1.064162,0.999774895466839,1879.94643040314,1964.82595631764
"5","lam",0.27960051,0.277641,0.0375545924367906,0.0370657413,0.2223416,0.34681155,1.00015909230756,2003.45051443819,1824.03050491781
"6","gamma",2.667573835,2.665085,0.106584865374997,0.109378815,2.4971215,2.846712,1.00044541521974,1908.70263929587,1916.93052353477
"7","beta",1.485537725,1.48262,0.0786616730675064,0.080171595,1.358678,1.6192755,0.999914102341513,2147.18381918082,2004.22343020712
"8","alpha",1.346435145,1.346405,0.0333400755262645,0.031534902,1.2917285,1.401791,0.999595026785745,1954.8497334734,1932.09108525376
"9","k",1,1,0,0,1,1,NA,NA,NA
"10","tau",0,0,0,0,0,0,NA,NA,NA
"11","delta",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
