"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-5195.85199,-5194.925,5.13855685218735,4.71466799999976,-5205.2835,-5189.26,1.00017304617298,1550.99194039296,1811.34201351278
"2","lp_approx__",-3.0372518145,-2.721545,1.79081618444626,1.535024736,-6.4064315,-0.83009655,1.0006469187693,2057.01318282798,1811.34201351278
"3","I",1.33310095,1.333135,0.0111356576920098,0.011401194,1.314556,1.351341,1.001262815657,1843.15588723489,1660.94057747484
"4","m",0.8527837965,0.8527255,0.0186468836334844,0.0187889898,0.822618,0.88372645,1.00121190984223,1729.02899747306,1722.71165869475
"5","lam",1.012064045,1.01107,0.0328965083036675,0.0332324789999998,0.9586608,1.066889,1.00116611221267,2017.45183070505,1803.02936534588
"6","gamma",5.38639796,5.38726,0.129631381608341,0.130557756,5.1686495,5.594521,1.0003733922481,1766.80181538993,1547.91521288204
"7","beta",0.855591373,0.8556045,0.0071737070946346,0.007286979,0.84390115,0.86764255,0.999649985677994,2057.54262456858,1921.86099939317
"8","alpha",1.44564274,1.44589,0.0141299692217465,0.0140328089999999,1.4218085,1.4689245,0.999762500656969,1990.05601504748,1879.39058085541
"9","k",1,1,0,0,1,1,NA,NA,NA
"10","tau",0,0,0,0,0,0,NA,NA,NA
"11","delta",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
