"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-1028.14517,-1026.32,6.98142359471221,3.26172000000007,-1038.401,-1022.66,1.0024250144636,1950.85070281688,1950.18383365384
"2","lp_approx__",-3.5299852675,-3.2116,1.90930289406545,1.770632115,-7.1689615,-1.0938095,1.00028089602647,1889.55528683815,1737.5349162826
"3","I",1.830812715,1.830635,0.0307211793932204,0.030704646,1.7812215,1.880082,1.00217946656283,1874.79319557907,1962.09111755608
"4","m",0.9920056665,0.99116,0.0297048721477797,0.0293176737,0.9451525,1.0419245,0.999529613511593,2022.80803646539,1879.29837398618
"5","lam",0.362793966,0.3584675,0.0444717651552404,0.0433178655,0.2964688,0.4390737,1.00261553718929,1783.82640220373,1827.30728451777
"6","gamma",2.70442021,2.70468,0.0778114362652607,0.0778365000000003,2.577768,2.830524,0.99958174199265,1893.18022912945,1847.63209340345
"7","beta",0.616799933,0.6166865,0.0375851513991012,0.0370153329,0.55537205,0.67864945,1.00001987442144,1902.14997015446,1776.62211642878
"8","stay",0.94797315,0.947545,0.0410973043205842,0.0417937527,0.882173,1.0166445,1.00159397627265,1908.17761916139,1923.11353060878
"9","alpha",1.47609753,1.47586,0.0241534341241384,0.0239291640000001,1.436983,1.5158935,0.999542865085508,1667.06851204843,1784.4539765347
"10","k",1,1,0,0,1,1,NA,NA,NA
"11","tau",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
