"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-926.680852,-924.4105,14.4429757709295,3.52414019999993,-934.83745,-920.72455,1.00059866773041,1842.65367631877,1884.63419829358
"2","lp_approx__",-3.4412685265,-3.12135,1.84852210242036,1.705820256,-6.786682,-1.092021,0.999552604611925,1984.3747463126,1892.78274084301
"3","I",1.52080238,1.52053,0.0348241230730869,0.0337143240000001,1.4628795,1.577955,0.999884009610312,1897.07435542674,1942.03083704939
"4","m",1.0023377075,1.00093,0.0329228224031664,0.0328025250000001,0.9501566,1.0585525,1.00178772278839,1949.33850169447,1847.60791527355
"5","lam",0.12525556865,0.122514,0.0288705104898802,0.0274762845,0.08377605,0.17618395,1.00068952531946,1954.5402319766,1922.39429412326
"6","gamma",2.67399185,2.672955,0.116551577261994,0.116643555,2.490244,2.8717025,1.00058449663052,1706.04852235365,1962.73343888589
"7","beta",1.234921313,1.22811,0.108839261622377,0.111573063,1.0642,1.422329,0.999599602674298,2026.57990579415,1876.13152805329
"8","stay",0.93589278,0.934087,0.0594118662882132,0.058977828,0.8413278,1.03882,1.0026899660139,1993.2221054415,1922.7754964608
"9","alpha",1.35278839,1.35313,0.0257371302429869,0.0260344559999997,1.3103205,1.3951145,1.00035703885439,1819.7907780368,2047.06098959464
"10","k",1,1,0,0,1,1,NA,NA,NA
"11","tau",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
