"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-9443.769575,-9442.75,5.99137483851602,5.32253400000022,-9455.1015,-9436.0095,0.999830846700942,1913.24174394365,2047.06098959464
"2","lp_approx__",-3.527665314,-3.23054,1.84954393298784,1.668110325,-6.9151915,-1.094494,0.999690258965114,1851.76579149065,1889.21432829045
"3","I",1.312426965,1.312375,0.0109725261724034,0.011112087,1.2939985,1.3301705,0.999556955547939,1783.14204191094,1785.2541082551
"4","m",0.910466436,0.9105935,0.0131255978987627,0.0130765319999999,0.88895635,0.93240295,1.00021573887022,1789.44480809611,1816.70037035175
"5","lam",0.8475559395,0.8468275,0.0200698185301651,0.0204591386999999,0.81599445,0.88197585,1.00036882734438,2166.09985679396,1848.35969851064
"6","gamma",4.66819813,4.66804,0.0874960282337515,0.0902977530000006,4.5215555,4.811795,0.999739185203935,1873.32977546328,1922.7754964608
"7","beta",0.88042661,0.880405,0.0044826989104401,0.00448041719999995,0.872863,0.8877603,0.999570194457698,1899.57005482858,1795.32527121883
"8","stay",1.0775329675,1.07701,0.0310954169634612,0.031586793,1.02698,1.1292355,1.00019685166658,1938.07986620256,1921.86099939317
"9","alpha",1.45031825,1.45042,0.0109250763880415,0.0109712399999998,1.4324895,1.468493,1.00150723280967,1788.76245773318,1503.58375057699
"10","k",1,1,0,0,1,1,NA,NA,NA
"11","tau",0,0,0,0,0,0,NA,NA,NA
"12","Chain",1,1,0,0,1,1,NA,NA,NA
