"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-764.732757,-762.398,27.9374976711948,25.5140634,-816.1019,-724.24955,1.00027547914699,1934.49534024247,1921.17599996482
"2","lp_approx__",-194.8937665,-194.598,13.8879045307817,13.6236114,-218.09375,-172.54785,0.999631286174216,1799.24361625334,2046.61499959446
"3","mu_I",2.282742565,2.27568,0.131414773514699,0.125620698,2.0746005,2.502853,0.999517516359911,2064.71774185537,1994.05793484672
"4","mu_m",0.9856433445,0.983711,0.0402531186672914,0.0395691113999999,0.92092855,1.053666,1.00039545184561,1941.66528550798,1967.67397676974
"5","mu_lam",0.13196009743,0.1036235,0.101606824429246,0.06687889992,0.03413547,0.32189095,1.00012355619873,2001.73683483884,1927.55155463408
"6","mu_gamma",3.55961855,3.538415,0.264927801316609,0.270507783,3.153464,4.001568,1.00049191247219,1988.88263516531,1960.38681098282
"7","mu_beta",0.671754141,0.66896,0.0619350198199061,0.0618436938,0.57685025,0.7780283,0.99994701512576,2008.22287803605,1644.19392945476
"8","tau_I",0.896289523,0.893738,0.0941813480486322,0.0930539064,0.75054725,1.061152,1.00035843158877,1960.47579509586,1971.33495619657
"9","tau_m",0.2247452815,0.2233815,0.0236246080239737,0.0227097255,0.18793155,0.2671552,1.00076310752392,1673.29001702595,2088.80709454599
"10","tau_lam",0.579996653,0.5777135,0.0579125775755864,0.0570015222,0.4871892,0.6806813,1.00017273949985,1816.93805776301,1807.40617057009
"11","tau_gamma",1.574087515,1.563755,0.171328602033379,0.170839998,1.317276,1.8678335,1.00012152728951,1789.18288076497,1839.63544740808
"12","tau_beta",0.358784496,0.3564765,0.0418116586136809,0.0405513339,0.29551165,0.4317934,0.999861073302049,2003.04393135131,2001.18275150363
"13","mu_stay",0.9020342935,0.9011725,0.0759655155350875,0.0768728100000001,0.77919605,1.0291525,1.00018966620259,1921.21077164089,1826.97374115276
"14","tau_stay",0.6795349125,0.6740665,0.0803063462188597,0.0780077403,0.55264285,0.8212063,1.00216523040396,1977.96199320655,1856.02728595714
"15","alpha",1.750312845,1.7497,0.0284888318473395,0.0280952699999999,1.702015,1.7973615,1.00020956914385,2007.70671089002,1863.1414451657
"16","I[1]",1.952255945,1.93292,0.229078752820299,0.227475318,1.5998415,2.3538595,0.999606575953084,2036.32937745961,1922.7754964608
"17","I[2]",2.075670905,2.064835,0.229034229847313,0.227341884,1.734419,2.478093,0.999816395143663,1881.78392270941,1889.24209949232
"18","I[3]",3.50628647,3.483355,0.342132983845985,0.344104047,2.964212,4.0868175,1.00262489483198,2092.56090297722,1696.9090223117
"19","I[4]",2.34430158,2.32779,0.283904346305634,0.278017152,1.908474,2.8501365,0.999528209208034,1898.66040894052,1811.25209230105
"20","I[5]",0.616322409,0.6074585,0.101616754384174,0.1003898112,0.46469735,0.7969,1.00029728378414,1909.05423639151,1822.22521858695
"21","I[6]",2.255948955,2.233105,0.252895799030434,0.241270911,1.876271,2.7007395,1.00419801318957,1757.97252156417,1779.05293839391
"22","I[7]",3.13058598,3.11963,0.356643530575125,0.352473324,2.5759025,3.7493825,1.00024652668698,2059.7600600351,1887.8954411147
"23","I[8]",1.423414274,1.39574,0.267344903946688,0.251285874,1.0293645,1.900578,0.999554801131882,1938.77943475866,1962.49249375557
"24","I[9]",3.16520905,3.14916,0.325424760257255,0.327150516,2.6691815,3.72442,0.999955348929755,1687.26028199858,1721.17118206525
"25","I[10]",2.69017726,2.67675,0.329277226332437,0.334089084,2.1860045,3.272424,1.00242195993009,1913.32377933037,1924.92646038424
"26","I[11]",1.686158175,1.677315,0.197821570219077,0.194101992,1.37147,2.030729,1.00037555945095,1799.59318007189,1658.56767148829
"27","I[12]",3.03396629,3.012835,0.381544948069994,0.369604767,2.4311825,3.68781,1.00106301967102,1883.2734682128,1905.36724026994
"28","I[13]",3.89752165,3.87959,0.401874762210229,0.397032867,3.2670755,4.588839,0.999704597411813,2017.74723131807,1838.29348697586
"29","I[14]",2.44358298,2.42269,0.30288356989985,0.302761746,1.9838205,2.9629285,0.999586650088633,1917.95678763923,2004.22343020712
"30","I[15]",3.29552587,3.281395,0.367591155623186,0.366735936,2.7226715,3.937647,1.00586260100495,1896.71896735304,1877.71554606744
"31","I[16]",1.2938514845,1.27817,0.220086684712737,0.213227532,0.9660916,1.68357,1.0002324322279,1546.01299304216,1635.76436099647
"32","I[17]",2.57657838,2.559975,0.262488350305492,0.258580266,2.1680285,3.0290285,0.999607000768846,1963.39834538363,1687.84723315234
