"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-512.461284,-510.5315,21.8227219464695,18.8542242,-547.2641,-482.31815,1.00055723928053,1958.41598035101,1851.69410156607
"2","lp_approx__",-150.2159655,-149.639,12.3406571094191,12.0742944,-171.0483,-130.04615,1.00032869188055,1999.96708078857,1959.66895476004
"3","mu_I",2.00226114,1.990855,0.201614654894267,0.198497901,1.686721,2.3596425,1.00276636758112,1938.50364012753,1854.09438352171
"4","mu_m",1.0050539105,1.00507,0.0252954990830072,0.0263665583999999,0.96408625,1.0455205,0.999747487558136,1928.79161390766,1852.11797644148
"5","mu_lam",0.08898450518,0.0749148,0.0646290039675787,0.04419030147,0.026809205,0.19488825,0.999582423917309,1928.98986631544,1879.07861671789
"6","mu_gamma",3.839531775,3.83475,0.198472024244737,0.197311821,3.5189705,4.1670625,0.999724179898358,1732.67699095537,2139.54470319401
"7","mu_beta",1.137759945,1.1373,0.0393995466240929,0.0406899569999999,1.0738395,1.202952,0.99966908103307,2102.87163332701,1976.7241505332
"8","tau_I",1.301914064,1.29007,0.17241352522577,0.173049072,1.040149,1.589686,1.00077601643578,2062.67472004436,1980.11712371081
"9","tau_m",0.165413783,0.164272,0.0182524426417153,0.0178897929,0.1369708,0.1973245,1.00068525381353,1945.05259647685,1851.85393211292
"10","tau_lam",0.302135002,0.300384,0.0362136268108483,0.036605394,0.24453425,0.36191535,0.999760974484207,1832.30208847073,1922.7754964608
"11","tau_gamma",1.312368054,1.305425,0.145493167560729,0.14210721,1.0783465,1.569574,1.00047616025383,1968.57575039001,1962.73343888589
"12","tau_beta",0.2601208645,0.258804,0.0272679301389594,0.0269188269,0.2182352,0.3065276,0.99989019971482,1976.22457408697,1884.85168018523
"13","mu_stay",0.844849713,0.8451985,0.0417539459866653,0.0404594127,0.7758856,0.9132297,0.999760180086076,2064.95138531478,2045.99109753231
"14","tau_stay",0.3175836025,0.316187,0.0366819525652806,0.0351976653,0.25957485,0.3818865,0.999932280433031,2006.79170761081,2047.32872199687
"15","alpha",1.796280015,1.794485,0.0333385558040735,0.0339070620000001,1.7423495,1.85043,1.00077911945548,1684.33930032651,2042.85294663013
"16","I[1]",1.72416214,1.70413,0.212610217642858,0.208668537,1.4038805,2.097717,1.00259011860103,1944.29827397308,1831.37756060089
"17","I[2]",2.862232215,2.84346,0.299354182286418,0.284562831,2.393247,3.405479,0.999513036925697,1777.63673404128,1709.32906152624
"18","I[3]",2.4642127,2.454,0.246304452088811,0.24025533,2.087986,2.896407,0.999637878355951,2078.93949772592,2003.88489292958
"19","I[4]",2.59936197,2.582995,0.269952019383267,0.272635314,2.1867045,3.0559385,0.999737861323268,1968.25448945076,1723.41356642958
"20","I[5]",4.613820235,4.592375,0.402935868834473,0.403333917000001,3.985391,5.29743,0.9995736409585,1886.08262582194,2089.74570446577
"21","I[6]",2.45648288,2.44417,0.263772749246445,0.252990864,2.039149,2.9075215,1.00002870787493,1849.37241749443,1606.56248675529
"22","I[7]",2.051419285,2.037905,0.231397042524063,0.22631889,1.6886495,2.4552815,0.999988989285606,2231.52713054129,2046.30549880344
"23","I[8]",0.33911422875,0.320195,0.126737573250649,0.1116375561,0.1764948,0.56197725,0.999792315833041,1808.87358378919,1682.74545029637
"24","I[9]",3.06502449,3.04969,0.289457401487296,0.278291433,2.6110635,3.570683,1.00184457439843,1942.86847805322,1746.46423319403
"25","I[10]",1.872154095,1.855935,0.224390565239194,0.21949893,1.531141,2.262958,1.00028633422696,1956.82110816322,1883.76504671098
"26","I[11]",3.13779306,3.126355,0.341852743774493,0.33150936,2.610775,3.7134295,0.999950844222928,1867.21844301543,1962.49249375557
"27","I[12]",0.989597238,0.9850775,0.127962768025644,0.1302471513,0.7902618,1.204202,1.00035630627177,1976.66782854409,1971.33495619657
"28","I[13]",0.5742427455,0.564118,0.110009371908604,0.1071074718,0.41350175,0.7689739,1.00124592575081,1822.08439921525,1715.96319920052
"29","I[14]",0.648073969,0.6348185,0.111312607283475,0.1047412422,0.4836242,0.8479185,0.999951561970874,1982.28537913751,1732.3552060452
"30","I[15]",1.341146576,1.32484,0.207448879308953,0.204576561,1.0249725,1.7013025,1.00097069308053,2022.92192714496,1960.54862614234
"31","I[16]",4.893169275,4.870285,0.44803901964247,0.447463506,4.1999055,5.665898,1.00015970407909,2002.24835187069,2036.48309591066
"32","I[17]",1.227835739,1.22202,0.136157347225093,0.13536138,1.0175085,1.4599205,0.999855676112055,2025.64581088918,1768.61542039581
"33","I[18]",2.029080145,2.015075,0.268216371572876,0.255815217,1.6110315,2.4980135,1.00051573397095,2059.52629955548,1785.43874931012
"34","I[19]",3.36688088,3.361645,0.329000858900709,0.328773963,2.84839,3.9310895,0.999559273151271,2146.89363914501,1898.09747276586
"35","I[20]",0.5699388795,0.558656,0.126779829270081,0.1227185085,0.3875164,0.79283615,0.999674083880775,1995.78427595304,1852.59773846872
"36","I[21]",2.772830775,2.76092,0.26696137135351,0.259588434,2.365023,3.240275,1.00183951797515,1932.1742555461,1975.03642045801
"37","I[22]",1.682438725,1.66592,0.226476571803603,0.225273657,1.3390565,2.0700845,0.999727834605718,2056.9460012873,1922.7754964608
"38","I[23]",3.89489487,3.87289,0.436443440514309,0.435128274,3.209662,4.6685705,0.999519742361131,2046.88443430331,1875.43879519372
"39","I[24]",3.66513717,3.6444,0.385044799398282,0.39874527,3.084106,4.317364,0.999783082697048,1843.03311592917,1897.00913550301
"40","I[25]",2.838239395,2.822025,0.299698301161424,0.308491995,2.370885,3.3580035,1.00051898311926,2156.35403274007,1921.0212050764
"41","I[26]",1.777491265,1.760015,0.224685426984928,0.224880768,1.439454,2.168683,1.00054117135225,1916.65814451326,1695.87635498615
"42","I[27]",0.908120869,0.902298,0.102959769796028,0.1024661925,0.75280635,1.0844395,1.001521191088,2020.23556551256,1813.6136184586
"43","I[28]",1.98568333,1.974355,0.233661049694816,0.231293013,1.619264,2.387722,1.00115590018115,1905.27122892985,1883.76504671098
"44","I[29]",4.277956335,4.25871,0.43463303288194,0.432971091000001,3.5904945,5.020426,1.0002864676992,1848.61179299452,2008.76612491963
"45","I[30]",2.54471628,2.52863,0.246739755687201,0.239521443000001,2.163685,2.973426,1.00115897718821,2061.48275896262,2043.91298588388
"46","I[31]",0.792902104,0.77702,0.143302774711738,0.1423918692,0.58202855,1.0491875,0.999706100475466,2132.34091014977,1788.83075489395
"47","I[32]",2.077187375,2.06556,0.234921949799946,0.234043236,1.719732,2.4971715,0.999821936965561,2090.43038389653,2101.3569077099
"48","I[33]",2.166270045,2.15146,0.23542293777341,0.232642179,1.8123325,2.560067,0.999549000600876,1773.99908458254,1931.26041909544
"49","I[34]",2.61175409,2.600805,0.247719634938248,0.236022507,2.226238,3.0569495,0.999582902745774,1837.42509698662,1721.30927275193
"50","I[35]",2.09736411,2.094115,0.206534316205063,0.209736009,1.777903,2.4453315,0.999755266613109,1775.96144214026,1589.73710304864
"51","I[36]",1.887237895,1.874585,0.248057938094803,0.245748363,1.495573,2.313188,1.00002691833776,2204.99547804818,1929.39113283239
"52","I[37]",3.19242023,3.18081,0.337176598164704,0.342132189,2.665556,3.780807,1.00012971492645,1989.89181429017,1918.21628825582
