"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","lp__",-6715.99262,-6712,55.421433777886,50.8605930000004,-6813.6445,-6634.399,1.00003633690442,1873.17398439303,1780.21980087731
"2","lp_approx__",-600.386522,-599.959,24.8929602646388,24.507378,-641.88835,-560.93725,1.00091097862931,1828.1604207692,1809.81346178691
"3","mu_I",1.83896545,1.839545,0.0925939194605025,0.096013176,1.6884315,1.9920925,0.99965960882066,1922.83078604387,2004.13877981891
"4","mu_m",0.9078784465,0.9076315,0.019957707878512,0.0200247369,0.87573375,0.94131145,0.999836585310844,1853.11697673332,1845.94505006527
"5","mu_lam",0.072688836955,0.0552402,0.0578049476526825,0.03603792885,0.017564525,0.18978345,1.00027738157509,1868.98153509065,1867.90672864316
"6","mu_gamma",2.992741935,2.989235,0.175157236483258,0.177608067,2.711894,3.281981,1.00078022310164,2003.30904414724,1845.77493575977
"7","mu_beta",0.6859768935,0.685537,0.0254930617730284,0.0256282236000001,0.6431106,0.72968585,1.00002834996584,1797.9400050146,1717.52862890377
"8","tau_I",1.083080232,1.08091,0.0722723525759236,0.07146132,0.96843745,1.2035475,0.999550812341881,2043.6802595681,1963.48825435331
"9","tau_m",0.2083086155,0.207976,0.0116364578936124,0.0118304067,0.1898255,0.22864465,0.999605389414142,2114.92478725699,1565.76226553493
"10","tau_lam",0.482260251,0.48099,0.0281562027670126,0.0287290815,0.43830245,0.53131885,0.999607946145476,1834.55137132073,1887.03048272676
"11","tau_gamma",1.70924481,1.702225,0.111927603217638,0.11149152,1.5346985,1.9040975,1.00012635460497,2004.62102506218,1921.44468011767
"12","tau_beta",0.2803226965,0.2799945,0.0171952558957128,0.0171551646,0.253282,0.31011575,0.999625595782812,2125.39413650602,1922.7754964608
"13","mu_stay",0.9252672285,0.922554,0.0678910164046505,0.0650520402000001,0.81781295,1.038675,1.00137670856438,1887.99765766654,1508.76950088804
"14","tau_stay",0.8465870725,0.8436685,0.0568479275635126,0.0557591034,0.75889775,0.94288845,0.999928271209515,1760.49511431813,1962.49249375557
"15","alpha",1.97060152,1.970645,0.0146832958452126,0.014218134,1.947247,1.9953105,1.00013476666157,1958.02717169736,1929.39113283239
"16","I[1]",1.0234259675,1.02065,0.096555941282253,0.1015151046,0.8714594,1.191629,1.00025146730043,1741.94024006373,1741.58679789549
"17","I[2]",0.850955595,0.848526,0.0812757581766948,0.0820233624,0.72265725,0.98845905,1.00012697050676,2073.58106031085,1914.19782948663
"18","I[3]",0.963730668,0.9583305,0.091207990182776,0.0911450589,0.82017875,1.122332,1.00101567437165,2122.03127477085,2090.16379680511
"19","I[4]",3.63062911,3.62245,0.233373360662569,0.234391647,3.2601595,4.0353775,1.00085453269477,1992.40421769944,1744.84012553297
"20","I[5]",2.083679635,2.07589,0.158954024482447,0.158905068,1.8373915,2.3476725,1.0007709030759,2007.35473096729,1846.45278942694
"21","I[6]",2.78229883,2.774255,0.222848626141194,0.220225404,2.4361855,3.160139,0.999869564109824,1865.97728516164,1883.76504671098
"22","I[7]",2.71040292,2.70078,0.18721091207639,0.188082636,2.421215,3.023542,0.99998777776565,1943.56840529143,1971.33495619657
"23","I[8]",1.53052161,1.5214,0.129523049008353,0.125146266,1.3255125,1.7623875,1.00154977547899,1923.23697254116,1845.77493575977
"24","I[9]",2.263548505,2.25708,0.163556999969535,0.168467838,2.009006,2.537807,1.00005986971917,2213.39042794555,2047.32872199687
"25","I[10]",0.977606011,0.976918,0.0800583829334682,0.0797853777,0.84809475,1.1156445,1.00008271906325,1708.19483515435,1827.64646533416
"26","I[11]",1.1771165915,1.172045,0.116294730298717,0.120186969,0.9999356,1.3796635,1.00077328399,1861.11876116965,1858.07765853984
"27","I[12]",1.053163968,1.04487,0.105289286845682,0.1022905044,0.89510065,1.237275,1.00026805574324,2075.5266044017,1856.07694846737
